base,exchange_count,ace,ascendex,bequant,bigone,binance,binanceus,bingx,bit2c,bitbank,bitbay,bitbns,bitcoincom,bitfinex,bitfinex2,bitflyer,bitget,bitmart,bitmex,bitopro,bitrue,bitso,bitstamp,bitvavo,bl3p,btcalpha,btcbox,btcmarkets,btcturk,bybit,cex,coinbaseprime,coinbasepro,coincheck,coinex,coinlist,coinmate,coinone,coinsph,coinspot,cryptocom,currencycom,delta,deribit,digifinex,exmo,fmfwio,gate,gateio,gemini,hitbtc,hitbtc3,hollaex,htx,huobi,huobijp,independentreserve,indodax,kraken,kucoin,kuna,latoken,lbank,luno,lykke,mercado,mexc,ndax,novadax,oceanex,okcoin,okx,p2b,paymium,phemex,poloniex,probit,timex,tokocrypto,upbit,wavesexchange,wazirx,whitebit,woo,yobit,zaif,zonda
ELON,22,,X,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,,,,,,X,,,,,,X,,,,,,,X,X,X,X,X,,X,X,,,,,X,,X,X,,,,X,,X,,,X,,,,X,X,,,,,,,,,,
LOOKS,22,,X,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,X,,,,,,,,,X,X,,X,X,,X,X,,,X,,X,,X,,,,X,X,,,,,X,,,X,X,,,,,,,,,,,
TRAC,22,,X,,,,X,,,,,,,,,,X,X,,,X,,X,X,,,,,,,,X,X,,X,,,,,,X,,,,,,,,,,X,X,,X,X,,,,X,X,,,,,,X,X,,X,,,,,,,X,,,,,,,,X,,,
TAIKO,22,,X,,,,,X,,,,,,X,X,,,X,,,X,,,X,,,,,,X,,,,,X,,,X,,,X,,,,,,,X,X,,,,,X,X,,,X,,X,,,X,,,,X,,X,,,,,,X,,,,,X,,,,,,,
ORBS,22,,,,,,X,X,,,,X,,,,,X,X,,,X,,,,,,,,,,,,,,X,,,X,,,,,,,,,,X,X,,X,X,,X,X,,,X,,X,,X,,,,,,,,,,X,,,X,,X,,,X,,,X,,,,
BOBA,22,,,,,,,X,,X,,,,X,X,,,X,,,X,,,,,,,,,X,,X,X,,X,,,,,,X,,,,X,,,X,X,,,,,X,X,X,,,X,X,,X,,,,,X,,,,,,,,,X,,,,,,,,,,,
KAS,22,,,,,,,X,,,,,,,,,X,X,,,X,,,X,,,,,,X,,,,,X,,,X,,,,,,,X,X,,X,X,,X,X,,,,,,,,X,,,X,,,,X,,X,,,,,,X,X,X,,,,,X,,,,,
MOG,22,,X,,,,,X,,,,,,,,,X,X,,,X,,X,X,,,,,,X,,,,,X,,,,,,X,,,,,,,X,X,,,,,X,X,,,X,X,X,,X,X,,,,X,,X,,,,,,,X,,,,,,,,,,,
NYM,21,,,,,,,X,,,,,,X,X,,X,X,,,X,,,,,,,,,X,,,,,X,X,,,,,,,,,,,,X,X,,X,X,,X,X,,,,X,X,,X,,,,,X,,,,,,,,X,X,,,,,,,,,,,
PONKE,21,,X,,,,,X,,,,,,,,,X,X,,,X,,,X,,,,,,X,,,,,X,,,,,,X,,,,,,,X,X,,,,,X,X,,,X,X,X,,X,,,,,X,,X,,,,,,,X,,,,,,,,X,,,
MYRO,21,,X,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,X,,,X,,,,,,,X,X,,,,,X,X,,,X,,X,,X,X,,,,X,,X,,,,,,X,X,,,,,,,,,,,
UXLINK,21,,,,,,,X,,,,,,X,X,,X,X,,,X,,,X,,,,,,X,,,,,X,,,,,,,,,,,,,X,X,,,,,X,X,,,,,X,,,X,,,,X,,,,,X,,,X,X,,,,X,,,,X,,,
CGPT,21,,X,,,,,X,,,,,,,,,X,X,,,X,,,,,,,,,X,,,,,X,,,,,,,,,,X,,,X,X,,X,X,,X,X,,,X,,X,,X,,,,,X,,X,,,,,,,X,X,,,,,,,,,,
