Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,symbol,adg_long,adg_per_exposure_long,adg_per_exposure_short,adg_short,adg_weighted_long,adg_weighted_per_exposure_long,adg_weighted_per_exposure_short,adg_weighted_short,avg_fills_per_day_long,avg_fills_per_day_short,closest_bkr_long,closest_bkr_short,drawdown_1pct_worst_mean_long,drawdown_1pct_worst_mean_short,drawdown_max_long,drawdown_max_short,eqbal_ratio_mean_long,eqbal_ratio_mean_of_10_worst_long,eqbal_ratio_mean_of_10_worst_short,eqbal_ratio_mean_short,eqbal_ratio_min_long,eqbal_ratio_min_short,eqbal_ratio_std_long,eqbal_ratio_std_short,equity_balance_ratio_mean_long,equity_balance_ratio_mean_short,equity_balance_ratio_std_long,equity_balance_ratio_std_short,exchange,exposure_ratios_mean_long,exposure_ratios_mean_short,fee_sum_long,fee_sum_short,final_balance_long,final_balance_short,final_equity_long,final_equity_short,gain_long,gain_short,hrs_stuck_avg_long,hrs_stuck_avg_short,hrs_stuck_max_long,hrs_stuck_max_short,loss_profit_ratio_long,loss_profit_ratio_short,loss_sum_long,loss_sum_short,n_closes_long,n_closes_short,n_days,n_entries_long,n_entries_short,n_fills_long,n_fills_short,n_ientries_long,n_ientries_short,n_normal_closes_long,n_normal_closes_short,n_rentries_long,n_rentries_short,n_unstuck_closes_long,n_unstuck_closes_short,n_unstuck_entries_long,n_unstuck_entries_short,net_pnl_plus_fees_long,net_pnl_plus_fees_short,pa_distance_1pct_worst_mean_long,pa_distance_1pct_worst_mean_short,pa_distance_max_long,pa_distance_max_short,pa_distance_mean_long,pa_distance_mean_short,pa_distance_std_long,pa_distance_std_short,pnl_sum_long,pnl_sum_short,profit_sum_long,profit_sum_short,sharpe_ratio_long,sharpe_ratio_short,starting_balance,symbol.1,time_at_max_exposure_long,time_at_max_exposure_short,volume_quote_long,volume_quote_short,LastUpdated,sortino_ratio_long,sortino_ratio_short
10,10,10,10,10,10,10,10,10,XRPUSDT,0.000977603,0.000977603,0.0,0.0,0.000596529,0.000596529,0.0,0.0,5.160384274,0.0,0.999959554,1.0,0.05944593,0.0,0.165153459,0.0,0.999211197,0.855377302,1.0,1.0,0.834380079,,0.006725472,0.0,0.999211197,1.0,0.006725472,0.0,binance,0.032951036,0.0,-748.9480681,0.0,28727.07476,10000.0,28728.60196,10000.0,1.872707476,0.0,4.645884183,,153.3833333,,0.017766941,1.0,-352.288444,0.0,1978.0,0.0,1079.958333,3595.0,0.0,5573.0,0.0,1871.0,0.0,1965.0,0.0,1724.0,0.0,13.0,0.0,0.0,0.0,18727.07476,0.0,0.065641777,100.0,0.198492109,100.0,0.010363939,100.0,0.011710814,1.0,19476.02283,0.0,19828.31127,0.0,0.128230644,0.0,10000.0,,0.010223765,0.0,7225274.752,0.0,35:24.1,,
11,11,11,11,11,11,11,11,11,KAVAUSDT,-2.89e-05,-2.89e-05,0.0,0.0,0.000737461,0.000737461,0.0,0.0,5.854855511,0.0,0.999955487,1.0,0.682900421,0.0,0.783140753,0.0,0.975527509,0.358069644,1.0,1.0,0.341760731,,0.069958297,0.0,0.975527509,1.0,0.069958297,0.0,binance,0.179185242,0.0,-482.6617823,0.0,9692.987696,10000.0,9694.400996,10000.0,-0.03070123,0.0,4.09525203,,129.3,,0.984119947,1.0,-11004.34575,0.0,2308.0,0.0,1079.958333,4015.0,0.0,6323.0,0.0,2037.0,0.0,2139.0,0.0,1978.0,0.0,169.0,0.0,0.0,0.0,-305.0923723,0.0,0.768684689,100.0,1.926026833,100.0,0.063618227,100.0,0.137116377,1.0,177.56941,0.0,11181.91516,0.0,0.013005976,0.0,10000.0,,0.156867284,0.0,7721572.16,0.0,35:42.7,,
12,12,12,12,12,12,12,12,12,ONEUSDT,0.000431045,0.000431045,0.0,0.0,0.001036904,0.001036904,0.0,0.0,7.187314325,0.0,0.999965102,1.0,0.572432092,0.0,0.656126035,0.0,0.981255214,0.487067139,1.0,1.0,0.464082952,,0.061492658,0.0,0.981255214,1.0,0.061492658,0.0,binance,0.143233482,0.0,-602.2285542,0.0,15926.68131,10000.0,15928.25309,10000.0,0.592668131,0.0,3.335936091,,113.6166667,,0.541179064,1.0,-7704.611532,0.0,2723.0,0.0,1079.958333,5039.0,0.0,7762.0,0.0,2471.0,0.0,2597.0,0.0,2568.0,0.0,126.0,0.0,0.0,0.0,5929.873866,0.0,0.597641,100.0,1.154782495,100.0,0.051020714,100.0,0.109056836,1.0,6532.10242,0.0,14236.71395,0.0,0.029171033,0.0,10000.0,,0.117592593,0.0,7960431.837,0.0,35:58.5,,
13,13,13,13,13,13,13,13,13,AVAXUSDT,0.000327551,0.000327551,0.0,0.0,0.000926537,0.000926537,0.0,0.0,7.20046341,0.0,0.973746499,1.0,0.644791465,0.0,0.681422393,0.0,0.97899878,0.487363433,1.0,1.0,0.460607436,,0.070072153,0.0,0.97899878,1.0,0.070072153,0.0,binance,0.138115134,0.0,-510.507754,0.0,14238.37235,10000.0,14238.37235,10000.0,0.423837235,0.0,3.326950309,,169.1333333,,0.616901972,1.0,-7647.111912,0.0,2739.0,0.0,1078.958333,5030.0,0.0,7769.0,0.0,2508.0,0.0,2616.0,0.0,2522.0,0.0,123.0,0.0,0.0,0.0,4238.372346,0.0,0.656751263,100.0,1.172649959,100.0,0.05773035,100.0,0.128201075,1.0,4748.8801,0.0,12395.99201,0.0,0.026261348,0.0,10000.0,,0.112372567,0.0,6488097.503,0.0,39:02.7,,
14,14,14,14,14,14,14,14,14,CHRUSDT,0.001162093,0.001162093,0.0,0.0,0.001065252,0.001065252,0.0,0.0,8.0040125,0.0,0.999961021,1.0,0.250448276,0.0,0.318734966,0.0,0.99321574,0.733427525,1.0,1.0,0.713606717,,0.02902549,0.0,0.99321574,1.0,0.02902549,0.0,binance,0.09650975,0.0,-1298.088281,0.0,35053.25362,10000.0,35053.25362,10000.0,2.505325362,0.0,2.988869605,,118.9,,0.156491601,1.0,-4888.823513,0.0,3052.0,0.0,1079.958333,5592.0,0.0,8644.0,0.0,2812.0,0.0,2980.0,0.0,2780.0,0.0,72.0,0.0,0.0,0.0,25053.25362,0.0,0.254429338,100.0,0.401322566,100.0,0.023842973,100.0,0.044845337,1.0,26351.3419,0.0,31240.16541,0.0,0.075377861,0.0,10000.0,,0.068557099,0.0,15096056.27,0.0,39:17.6,,
15,15,15,15,15,15,15,15,15,SKLUSDT,0.00141042,0.00141042,0.0,0.0,0.00115526,0.00115526,0.0,0.0,8.740152012,0.0,0.999945041,1.0,0.143416131,0.0,0.286137665,0.0,0.997098399,0.807515976,1.0,1.0,0.708396814,,0.015904347,0.0,0.997098399,1.0,0.015904347,0.0,binance,0.060693695,0.0,-1647.284341,0.0,45819.34927,10000.0,45803.11892,10000.0,3.581934927,0.0,2.73897895,,111.4666667,,0.061089482,1.0,-2437.737365,0.0,3297.0,0.0,1079.958333,6142.0,0.0,9439.0,0.0,3100.0,0.0,3260.0,0.0,3042.0,0.0,37.0,0.0,0.0,0.0,35819.34927,0.0,0.147643558,100.0,0.411627136,100.0,0.016441547,100.0,0.023848499,1.0,37466.63361,0.0,39904.37097,0.0,0.128563555,0.0,10000.0,,0.032523148,0.0,16944337.97,0.0,39:34.8,,
16,16,16,16,16,16,16,16,16,ZILUSDT,0.000897625,0.000897625,0.0,0.0,0.000966388,0.000966388,0.0,0.0,6.933600833,0.0,0.999955099,1.0,0.219680235,0.0,0.295109351,0.0,0.992181624,0.735878765,1.0,1.0,0.725473414,,0.029507379,0.0,0.992181624,1.0,0.029507379,0.0,binance,0.107514363,0.0,-898.9022962,0.0,26352.10149,10000.0,26355.22829,10000.0,1.635210149,0.0,3.458022795,,121.1666667,,0.221552401,1.0,-4911.300929,0.0,2769.0,0.0,1079.958333,4719.0,0.0,7488.0,0.0,2561.0,0.0,2681.0,0.0,2158.0,0.0,88.0,0.0,0.0,0.0,16357.46867,0.0,0.248826073,100.0,0.378407241,100.0,0.024315299,100.0,0.043490184,1.0,17256.37097,0.0,22167.6719,0.0,0.059400453,0.0,10000.0,,0.082523148,0.0,11002403.35,0.0,39:50.9,,
17,17,17,17,17,17,17,17,17,ALGOUSDT,0.000473511,0.000473511,0.0,0.0,0.000511607,0.000511607,0.0,0.0,3.403835024,0.0,0.999842801,1.0,0.018008526,0.0,0.157743321,0.0,0.999646438,0.945386913,1.0,1.0,0.841698875,,0.002158644,0.0,0.999646438,1.0,0.002158644,0.0,binance,0.014898256,0.0,-222.2591284,0.0,16673.76815,10000.0,16673.76815,10000.0,0.667376815,0.0,7.035814059,,171.9,,0.018966849,1.0,-133.3246586,0.0,1557.0,0.0,1079.958333,2119.0,0.0,3676.0,0.0,1521.0,0.0,1548.0,0.0,598.0,0.0,9.0,0.0,0.0,0.0,6673.768152,0.0,0.059552286,100.0,0.188057845,100.0,0.016842115,100.0,0.013616338,1.0,6896.02728,0.0,7029.351939,0.0,0.210655662,0.0,10000.0,,0.001234568,0.0,1055244.436,0.0,50:53.9,,
18,18,18,18,18,18,18,18,18,TRXUSDT,0.00029592,0.00029592,0.0,0.0,0.000126415,0.000126415,0.0,0.0,2.035263706,0.0,0.999824097,1.0,0.032145803,0.0,0.216269107,0.0,0.999299343,0.857489697,1.0,1.0,0.783903001,,0.004304022,0.0,0.999299343,1.0,0.004304022,0.0,binance,0.02858403,0.0,-146.6489862,0.0,13764.85497,10000.0,13764.85497,10000.0,0.376485497,0.0,11.77888788,,269.6,,0.027527937,1.0,-110.7236281,0.0,948.0,0.0,1079.958333,1250.0,0.0,2198.0,0.0,886.0,0.0,932.0,0.0,364.0,0.0,16.0,0.0,0.0,0.0,3764.854974,0.0,0.073239187,100.0,0.275632278,100.0,0.013727364,100.0,0.013693331,1.0,3911.50396,0.0,4022.227588,0.0,0.065680658,0.0,10000.0,,0.001273148,0.0,825077.5935,0.0,56:09.3,,
19,19,19,19,19,19,19,19,19,ALPHAUSDT,0.000354958,0.000354958,0.0,0.0,0.00055779,0.00055779,0.0,0.0,5.151124658,0.0,0.999936015,1.0,0.114307729,0.0,0.280922641,0.0,0.994532411,0.823492424,1.0,1.0,0.719215299,,0.012854043,0.0,0.994532411,1.0,0.012854043,0.0,binance,0.082273481,0.0,-287.264037,0.0,14670.77189,10000.0,14646.32039,10000.0,0.467077189,0.0,4.652562028,,270.65,,0.485018932,1.0,-4669.572226,0.0,2202.0,0.0,1079.958333,3361.0,0.0,5563.0,0.0,2007.0,0.0,2153.0,0.0,1354.0,0.0,49.0,0.0,0.0,0.0,4670.771893,0.0,0.183093866,100.0,0.390382797,100.0,0.0354386,100.0,0.034877894,1.0,4958.03593,0.0,9627.608156,0.0,0.041124831,0.0,10000.0,,3.86e-05,0.0,2634824.698,0.0,02:44.8,,
