timestamp,trade_id,timestamp,pnl,fee_paid,balance,equity,qty,price,psize,pprice,type,pcost,wallet_exposure,mins_since_prev_fill
1710749400000.0,490,1710749400000.0,0.0,-0.008036280000000002,9999.99196372,10000.01086372,63.0,0.6378,63.0,0.6378,long_ientry_normal,40.181400000000004,0.004018143229092407,
1710761460000.0,691,1710761460000.0,0.49139999999999484,-0.008134559999999999,10000.475229160002,10000.475229160002,-63.0,0.6456,0.0,0.6378,long_nclose,0.0,0.0,201.0
1710767880000.0,798,1710767880000.0,0.0,-0.00806656,10000.467162600002,10000.486362600002,64.0,0.6302,64.0,0.6302,long_ientry_normal,40.3328,0.004033091589044722,107.0
1710772260000.0,871,1710772260000.0,0.0,-0.023519740000000004,10000.443642860002,9999.541142860002,191.0,0.6157,255.0,0.6193392156862745,long_rentry,157.9315,0.015792449379259096,73.0
1710781440000.0,1024,1710781440000.0,0.0,-0.09197446,10000.351668400002,9996.719868400003,761.0,0.6043,1016.0,0.6080746062992126,long_rentry,617.8038,0.061778207455662905,153.0
1710795900000.0,1265,1710795900000.0,2.7233320866141666,-0.049069020000000005,10003.025931466616,10007.298899380003,-399.0,0.6149,617.0,0.6080746062992126,long_nclose,375.1820320866142,0.03750685389172095,241.0
1710795960000.0,1266,1710795960000.0,4.581467913385844,-0.07595270000000001,10007.531446680003,10007.531446680003,-617.0,0.6155,0.0,0.6080746062992126,long_nclose,0.0,0.0,1.0
1710809100000.0,1485,1710809100000.0,0.0,-0.00802824,10007.523418440003,10007.589418440004,66.0,0.6082,66.0,0.6082,long_ientry_normal,40.1412,0.004011102279914255,219.0
1710810540000.0,1509,1710810540000.0,0.0,-0.02341148,10007.500006960003,10006.418206960003,197.0,0.5942,263.0,0.5977133079847908,long_rentry,157.1986,0.015708078929869772,24.0
1710811740000.0,1529,1710811740000.0,0.0,-0.09156240000000002,10007.408444560002,10006.735444560001,785.0,0.5832,1048.0,0.586842175572519,long_rentry,615.0106,0.061455531010560276,20.0
1710814020000.0,1567,1710814020000.0,2.675592366412242,-0.04842144,10010.035615486413,10014.424623120001,-408.0,0.5934,640.0,0.586842175572519,long_nclose,375.5789923664122,0.03752024536110123,38.0
1710814080000.0,1568,1710814080000.0,4.581007633587788,-0.076032,10014.54059112,10014.54059112,-640.0,0.594,0.0,0.586842175572519,long_nclose,0.0,0.0,1.0
1710816600000.0,1610,1710816600000.0,0.0,-0.00804984,10014.53254128,10014.47134128,68.0,0.5919,68.0,0.5919,long_ientry_normal,40.2492,0.004019079256479762,42.0
1710819600000.0,1660,1710819600000.0,0.0,-0.023478980000000003,10014.5090623,10013.4487623,203.0,0.5783,271.0,0.5817125461254612,long_rentry,157.64409999999998,0.01574157045735344,50.0
