date,1INCHUSDT,AAVEUSDT,ADAUSDT,AGIXUSDT,ALGOUSDT,ALPHAUSDT,ANKRUSDT,APEUSDT,APTUSDT,ARUSDT,ATOMUSDT,AUDIOUSDT,AVAXUSDT,AXSUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,CRVUSDT,DOGEUSDT,DOTUSDT,DYDXUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,FETUSDT,FTMUSDT,GALAUSDT,GALUSDT,GMTUSDT,GRTUSDT,HBARUSDT,HNTUSDT,HOTUSDT,IMXUSDT,INJUSDT,KAVAUSDT,KSMUSDT,LINKUSDT,LTCUSDT,MANAUSDT,MATICUSDT,NEARUSDT,OCEANUSDT,OMGUSDT,ONEUSDT,OPUSDT,RENUSDT,RNDRUSDT,ROSEUSDT,RSRUSDT,RUNEUSDT,SANDUSDT,SKLUSDT,SNXUSDT,SUSHIUSDT,SXPUSDT,THETAUSDT,TRXUSDT,UNIUSDT,VETUSDT,WAVESUSDT,WOOUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT
2020-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,10134.586125919988,10808.731882360013,,,,,,,,,,,,,,10688.643075507993,10517.20559752799,,,,,,,,,,,,,,,,,,,10088.518011088001,,,,,10798.943391305997,,,,
2020-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,10142.270871599989,10814.017423410012,,,,,,,,,,,,,,10704.720336753993,10534.901023703993,,,,,,,,,,,,,,,,,,,10101.65537279399,,,,,10823.860929917999,,,,
2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,10144.832115639987,10822.050741606006,,,,,,,,,,,,,,10712.836670061992,10564.839996093993,,,,,,,,,,,,,,,,,,,10109.073439580003,,,,,10823.764416937998,,,,
2020-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,10148.664324319987,10845.413752689989,,,,,,,,,,,,,,10716.854441453994,10570.699542709994,,,,,,,,,,,,,,,,,,,10128.379423036005,,,,,10867.233188479997,,,,
2020-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,10148.632391839987,10872.962559003983,,,,,,,,,,,,,,10747.863468609996,10642.914653669994,,,,,,,,,,,,,,,,,,,10139.667556300003,,,,,10895.429252149994,,,,
2020-02-01,,,10007.58340876,,,,,,,,,,,,,,,,,,,,,,,,10155.059958999984,10878.407916771992,,,,,,,,,,,,,,10770.962467517995,10666.775297273993,,,,,,,,,,,,,,,,,,,10144.133684483999,,,,,10900.531396649994,,,,
2020-02-02,,,10029.807636840002,,,,,,,,,,,,,,,,,,,,,,,,10157.604829359983,10888.658020446,,,,,,,,,,,,,,10775.040695873995,10716.229896227993,,,,,,,,,,,,,,,,,,,10147.699198318005,,,,,10905.585357449994,,,,
2020-02-03,,,10085.99422544,,,,,,,,,,,,,,,,,,,,,,,,10160.176429359984,10896.031266117992,,,,,,,,,,,,,,10794.063126899995,10757.993470359992,,,,,,,,,,,,,,,,,,,10152.828403594009,,,,,10931.657563387997,,,,
2020-02-04,,,10184.610744292,,,,,,,,,,,,,,,,,,,,,,,,10165.261749759984,10908.744649993987,,,,,,,,,,,,,,10821.251819349995,10764.032142383994,,,,,,,,,,,,,,,,,,,10157.648678836009,,,,,10947.713845685996,,,,
2020-02-05,,,10184.610744292,,,,,,,,,,,,,,,,,,,,,,,,10166.534398039983,10910.051045617984,,,,,,,,,,,,,,10821.251819349995,10770.120968693995,,,,,,,,,,,,,,,,,,,10162.267426354003,,,,,10957.677707957997,,,,
2020-02-06,,,10226.857640752,,,,,,,,,,,,,,,,,,,,,,,,10172.922330079984,10955.551934885987,,,,,,,,,,,,,,10837.412014145995,10818.132693465996,,,,,,,,,,,,,,,,,,,10177.206122227997,,,,,11039.180937983996,,,,
2020-02-07,,,10226.733669551999,,,,,,,,,,,,,,,,,,,,,,,,10174.215129199983,10968.648924697989,,,,,,,,,,,,,,10841.392241763995,10836.549432915996,,,,,,,,,,,,,,,,,,,10195.467887325987,,,,,11049.227433663995,,10002.383118036001,,
