,adg_long,adg_per_exposure_long,adg_per_exposure_short,adg_short,adg_weighted_long,adg_weighted_per_exposure_long,adg_weighted_per_exposure_short,adg_weighted_short,avg_fills_per_day_long,avg_fills_per_day_short,closest_bkr_long,closest_bkr_short,drawdown_1pct_worst_mean_long,drawdown_1pct_worst_mean_short,drawdown_max_long,drawdown_max_short,eqbal_ratio_mean_long,eqbal_ratio_mean_of_10_worst_long,eqbal_ratio_mean_of_10_worst_short,eqbal_ratio_mean_short,eqbal_ratio_min_long,eqbal_ratio_min_short,eqbal_ratio_std_long,eqbal_ratio_std_short,equity_balance_ratio_mean_long,equity_balance_ratio_mean_short,equity_balance_ratio_std_long,equity_balance_ratio_std_short,exchange,exposure_ratios_mean_long,exposure_ratios_mean_short,fee_sum_long,fee_sum_short,final_balance_long,final_balance_short,final_equity_long,final_equity_short,gain_long,gain_short,hrs_stuck_avg_long,hrs_stuck_avg_short,hrs_stuck_max_long,hrs_stuck_max_short,loss_profit_ratio_long,loss_profit_ratio_short,loss_sum_long,loss_sum_short,n_closes_long,n_closes_short,n_days,n_entries_long,n_entries_short,n_fills_long,n_fills_short,n_ientries_long,n_ientries_short,n_normal_closes_long,n_normal_closes_short,n_rentries_long,n_rentries_short,n_unstuck_closes_long,n_unstuck_closes_short,n_unstuck_entries_long,n_unstuck_entries_short,net_pnl_plus_fees_long,net_pnl_plus_fees_short,pa_distance_1pct_worst_mean_long,pa_distance_1pct_worst_mean_short,pa_distance_max_long,pa_distance_max_short,pa_distance_mean_long,pa_distance_mean_short,pa_distance_std_long,pa_distance_std_short,pnl_sum_long,pnl_sum_short,profit_sum_long,profit_sum_short,sharpe_ratio_long,sharpe_ratio_short,starting_balance,symbol,time_at_max_exposure_long,time_at_max_exposure_short,volume_quote_long,volume_quote_short
ONEUSDT,0.0008508493627885638,0.0028361645426285462,0.0,0.0,0.000696361152919267,0.0023212038430642234,0.0,0.0,14.35326842837274,0.0,1.0,1.0,0.013772321601043453,-0.0,0.015970536719953635,-0.0,0.9997370666699571,0.9882200267589264,1.0,1.0,0.9846027303675318,,0.0014957458124776925,0.0,0.9997370666699571,1.0,0.0014957458124776925,0.0,binance,0.050309209219794336,0.0,-14.944660766000002,0.0,10258.065599234002,10000.0,10258.043509234001,10000.0,0.025806559923400085,0.0,1.6433954933954933,,20.083333333333332,,0.13477981372677655,1.0,-42.528217177632,0.0,194,0,29.958333333333332,236,0,430,0,147,0,170,0,66,0,24,0,23,0,258.0655992340002,0.0,0.04492769680272597,100.0,0.05409836977252195,100.0,0.009825398127707326,100.0,0.009103184600784355,1.0,273.01026000000024,0.0,315.5384771776322,0.0,0.2610581275680085,0.0,10000.0,ONEUSDT,0.029166666666666667,0.0,208093.19976686995,0.0
CHRUSDT,0.0007845759926816687,0.002615253308938896,0.0,0.0,0.0006169491441731179,0.0020564971472437263,0.0,0.0,15.121001390820584,0.0,1.0,1.0,0.009414071615067578,-0.0,0.011839924257867179,-0.0,0.9993862189781139,0.9912423153681793,1.0,1.0,0.9864984254315922,,0.001581499260081569,0.0,0.9993862189781139,1.0,0.001581499260081569,0.0,binance,0.09717413289086674,0.0,-10.305733840000002,0.0,10237.735641099993,10000.0,10237.487241099992,10000.0,0.0237735641099992,0.0,1.5725294985250737,,38.416666666666664,,0.0059291837587616405,1.0,-1.4861555749128543,0.0,212,0,29.958333333333332,241,0,453,0,180,0,211,0,61,0,1,0,0,0,238.85906615999926,0.0,0.07281870303908708,100.0,0.10229168610840697,100.0,0.014529830890432504,100.0,0.013406591736906162,1.0,249.16479999999925,0.0,250.6509555749121,0.0,0.3673744309633977,0.0,10000.0,CHRUSDT,0.009722222222222222,0.0,67904.31740707808,0.0
SKLUSDT,0.0008542553967993971,0.002847517989331324,0.0,0.0,0.0008396802683938498,0.0027989342279794993,0.0,0.0,10.481223922114047,0.0,1.0,1.0,0.011908677983778957,-0.0,0.015339131271577804,-0.0,0.9996761330548859,0.9891456743416521,1.0,1.0,0.9848560015999599,,0.001456489072921958,0.0,0.9996761330548859,1.0,0.001456489072921958,0.0,binance,0.0699443536223611,0.0,-9.024685274,0.0,10259.111484726007,10000.0,10257.556524726007,10000.0,0.025911148472600676,0.0,2.240894568690096,,40.25,,0.07791913369528133,1.0,-22.658466130525127,0.0,173,0,29.958333333333332,141,0,314,0,88,0,162,0,43,0,11,0,10,0,259.1114847260007,0.0,0.043232777008714196,100.0,0.05316340504305212,100.0,0.013104209303046918,100.0,0.010381724883895237,1.0,268.1361700000007,0.0,290.7946361305258,0.0,0.31109228146523565,0.0,10000.0,SKLUSDT,0.04027777777777778,0.0,163411.009563787,0.0
ZILUSDT,0.0007571465328706228,0.0025238217762354096,0.0,0.0,-0.0003014138671504574,-0.0010047128905015248,0.0,0.0,30.175243393602226,0.0,1.0,1.0,0.019204771644108668,-0.0,0.02082809806553058,-0.0,0.999218851733121,0.9850116581152923,1.0,1.0,0.9824985966540929,,0.002743341935260462,0.0,0.999218851733121,1.0,0.002743341935260462,0.0,binance,0.10025812101851411,0.0,-26.878794632,0.0,10229.33280536797,10000.0,10229.33280536797,10000.0,0.022933280536796996,0.0,0.7824104835732743,,23.933333333333334,,0.15597637535706235,1.0,-47.34814941861318,0.0,398,0,29.958333333333332,506,0,904,0,338,0,388,0,159,0,10,0,9,0,229.33280536799862,0.0,0.0553165135927033,100.0,0.061952067523133494,100.0,0.009125561179850587,100.0,0.012032976823979106,1.0,256.2115999999986,0.0,303.5597494186118,0.0,0.22557013984662375,0.0,10000.0,ZILUSDT,0.0875,0.0,224841.16732921937,0.0
ALGOUSDT,0.0019294813942281053,0.0019294813942281053,0.00155506316927978,0.00155506316927978,0.0006650209074793523,0.0006650209074793523,0.0010686478973201963,0.0010686478973201963,6.208623087621697,3.3713490959666204,0.9901879500268483,0.7962223386755328,0.054381987226883276,0.09366483563979008,0.0656952613899856,0.1061214420213311,0.9966199351789721,0.9529375992964242,0.9103555651028353,0.9927770258907118,0.9408364604701662,0.8940629858205327,0.009132425367006192,0.017974883800025956,0.9966199351789721,0.9927770258907118,0.009132425367006192,0.017974883800025956,binance,0.1753509528562807,0.1668569530833498,-18.871559512,-13.874037546,10594.483546125928,10476.514192453995,10271.604170487986,10475.223552453996,0.05944835461259279,0.047651419245399396,3.731441441441442,6.925166666666667,32.86666666666667,43.7,0.029156962071873464,0.04221778321826991,-18.420662097799685,-21.615669641994558,91,51,29.958333333333332,95,50,186,101,40,34,82,47,55,16,9,4,0,0,594.4835461259395,476.5141924540002,0.05213526785343257,0.08614642706499896,0.06257602087344678,0.09577715289697446,0.01311190954125467,0.021642393540600376,0.010800171555312287,0.019880119701881728,613.3551056379395,490.3882300000002,631.7757677357391,512.0038996419947,0.11429553426590458,0.09768371935571134,10000.0,ALGOUSDT,0.12222222222222222,0.11527777777777778,497327.38495260885,151081.8226535478
TRXUSDT,-0.0004144140806173757,-0.0013813802687245857,0.0,0.0,-0.0004055261239713337,-0.0013517537465711125,0.0,0.0,1.1682892906815021,0.0,1.0,1.0,0.03495678743331255,-0.0,0.036557127738069566,-0.0,0.9933784633606567,0.966873466768565,1.0,1.0,0.9635621154729497,,0.0067971298045711535,0.0,0.9933784633606567,1.0,0.0067971298045711535,0.0,binance,0.7131008954727621,0.0,-2.075189818,0.0,9876.590534581466,10000.0,9809.358600181997,10000.0,-0.01234094654185336,0.0,20.19362745098039,,118.56666666666666,,71.52989380234636,1.0,-123.05459969375256,0.0,15,0,29.958333333333332,20,0,35,0,3,0,3,0,6,0,12,0,11,0,-123.40946541853106,0.0,0.1305353888723702,100.0,0.1382441212971833,100.0,0.02663142323771225,100.0,0.02354547153344633,1.0,-121.33427560053106,0.0,1.720324093221512,0.0,-0.08438061096046517,0.0,10000.0,TRXUSDT,0.6708333333333333,0.0,75588.31556238212,0.0
ALPHAUSDT,0.0007211054063607225,0.002403684687869075,0.0,0.0,0.0008706055288445925,0.002902018429481975,0.0,0.0,5.006954102920724,0.0,1.0,1.0,0.009364472116380489,-0.0,0.013676903529831684,-0.0,0.9997607301289407,0.991796271374651,1.0,1.0,0.9871103379626494,,0.001128163046162016,0.0,0.9997607301289407,1.0,0.001128163046162016,0.0,binance,0.06392157423031591,0.0,-6.281024024000001,0.0,10218.301975975994,10000.0,10218.301975975994,10000.0,0.02183019759759941,0.0,4.678635346756153,,43.8,,0.0,1.0,0.0,0.0,68,0,29.958333333333332,82,0,150,0,48,0,65,0,33,0,3,0,1,0,218.30197597600096,0.0,0.046030156736361225,100.0,0.051090975021925264,100.0,0.012423684363189568,100.0,0.010721895093812933,1.0,224.58300000000096,0.0,224.58300000000096,0.0,0.6952887096193899,0.0,10000.0,ALPHAUSDT,0.02638888888888889,0.0,59819.97222901653,0.0
DOTUSDT,0.0007196282823049849,0.0023987609410166164,0.0,0.0,-0.0002750462842369683,-0.0009168209474565611,0.0,0.0,6.5757997218358835,0.0,1.0,1.0,0.021120488419707817,-0.0,0.02470394674107973,-0.0,0.9985207624623652,0.9810276027354954,1.0,1.0,0.976707224104759,,0.003988864782568461,0.0,0.9985207624623652,1.0,0.003988864782568461,0.0,binance,0.17127539108594292,0.0,-9.02249934,0.0,10217.85012938345,10000.0,10073.450800660012,10000.0,0.021785012938345005,0.0,3.488350340136054,,43.55,,0.0845413328675256,1.0,-20.95137127656168,0.0,73,0,29.958333333333332,124,0,197,0,64,0,68,0,57,0,5,0,3,0,217.8501293834385,0.0,0.07033847294489544,100.0,0.08418062691167545,100.0,0.014465055434754761,100.0,0.016323983422102974,1.0,226.8726287234385,0.0,247.82400000000018,0.0,0.0894852804951571,0.0,10000.0,DOTUSDT,0.14444444444444443,0.0,71931.19691890146,0.0
BNBUSDT,0.0014480380776646928,0.0014480380776646928,0.000814486341362608,0.000814486341362608,0.0008015656725012477,0.0008015656725012477,0.0003653019458730311,0.0003653019458730311,41.49095966620306,32.51182197496523,1.0,0.7933941466700257,0.003156496622982578,0.09106218672510269,0.010446602234613536,0.10946830834568759,0.9998611205360174,0.9974283865995263,0.9127448004490614,0.9965650478172324,0.9896170290330039,0.8907696251287536,0.00044968816776156143,0.013428412904345498,0.9998611205360174,0.9965650478172324,0.00044968816776156143,0.013428412904345498,binance,0.020556501117785845,0.09685588684651508,-51.84319060000001,-52.38611456000001,10443.027409400009,10246.906085439956,10442.141409400008,10244.907285439956,0.04430274094000097,0.024690608543995518,0.563768115942029,0.7294107571085988,32.61666666666667,44.05,0.0,0.043984467054206874,0.0,-13.769868225799824,542,455,29.958333333333332,701,519,1243,974,536,450,542,449,165,69,0,6,0,0,443.02740939999967,246.90608544000605,0.01867886618384548,0.082797708012004,0.022208099187882167,0.09815520938580256,0.006182848190096463,0.014501944395076797,0.0045480863963837355,0.011969468602268513,494.8705999999997,299.29220000000606,494.8705999999997,313.0620682258059,1.081557193359398,0.049638582474845455,10000.0,BNBUSDT,0.0,0.06111111111111111,208826.22389989102,247893.0284522487
NEARUSDT,0.0006949304644479071,0.0023164348814930236,0.0,0.0,0.0008723982516408047,0.0029079941721360156,0.0,0.0,7.109874826147427,0.0,1.0,1.0,0.03125086177378788,-0.0,0.036739915463775544,-0.0,0.9988432384895403,0.9711849416664773,1.0,1.0,0.9636572206434968,,0.004522366092027672,0.0,0.9988432384895403,1.0,0.004522366092027672,0.0,binance,0.09204165213928016,0.0,-8.827977999999998,0.0,10210.298021999995,10000.0,10210.298021999995,10000.0,0.021029802199999503,0.0,3.2391509433962264,,42.1,,0.2952266154057948,1.0,-91.79096251578588,0.0,87,0,29.958333333333332,126,0,213,0,61,0,78,0,57,0,9,0,8,0,210.29802200000012,0.0,0.11486679833962057,100.0,0.137934429366041,100.0,0.01597206791006968,100.0,0.022739584121699498,1.0,219.12600000000012,0.0,310.916962515786,0.0,0.11698520452728046,0.0,10000.0,NEARUSDT,0.05694444444444444,0.0,111373.23608236853,0.0
