,date,symbol,TotalBalance
128,2020-02-03,ETCUSDT,10424.312499938022
129,2020-02-03,LINKUSDT,10129.329184521988
130,2020-02-03,LTCUSDT,10112.310490012002
131,2020-02-03,TRXUSDT,10055.159978861999
132,2020-02-03,XRPUSDT,10459.38999576202
133,2020-02-04,ADAUSDT,10021.255208572005
134,2020-02-04,EOSUSDT,10101.054301360009
135,2020-02-04,ETCUSDT,10437.379912048023
136,2020-02-04,LINKUSDT,10129.306513665988
137,2020-02-04,LTCUSDT,10114.164732988002
138,2020-02-04,TRXUSDT,10058.586211061998
139,2020-02-04,XRPUSDT,10471.58075928802
140,2020-02-05,ETCUSDT,10438.934887788022
141,2020-02-05,LINKUSDT,10136.254594449987
142,2020-02-05,LTCUSDT,10115.523389044003
143,2020-02-05,XRPUSDT,10479.717871098019
144,2020-02-06,ADAUSDT,10026.734157370005
145,2020-02-06,EOSUSDT,10106.72101508001
146,2020-02-06,ETCUSDT,10478.21025921203
147,2020-02-06,LINKUSDT,10139.424547677987
148,2020-02-06,LTCUSDT,10121.812152546001
149,2020-02-06,TRXUSDT,10060.275133313999
150,2020-02-06,XRPUSDT,10519.343992120019
151,2020-02-06,ZECUSDT,9999.978572584
152,2020-02-07,ADAUSDT,10026.722252730005
153,2020-02-07,EOSUSDT,10110.08324372001
154,2020-02-07,ETCUSDT,10488.664053988035
155,2020-02-07,LINKUSDT,10148.935038695989
156,2020-02-07,LTCUSDT,10125.257515251997
157,2020-02-07,TRXUSDT,10065.40306796
158,2020-02-07,XRPUSDT,10524.718937980017
159,2020-02-07,ZECUSDT,10001.879260668
160,2020-02-08,ADAUSDT,10038.723239750005
161,2020-02-08,ATOMUSDT,9999.990001792
162,2020-02-08,EOSUSDT,10111.20399088001
163,2020-02-08,ETCUSDT,10494.722465736042
164,2020-02-08,LINKUSDT,10165.087332955987
165,2020-02-08,LTCUSDT,10129.579383471997
166,2020-02-08,TRXUSDT,10079.359027311999
167,2020-02-08,XRPUSDT,10576.79447116402
168,2020-02-08,XTZUSDT,10028.450613759998
169,2020-02-08,ZECUSDT,10011.296392092
170,2020-02-09,ADAUSDT,10039.479254750004
171,2020-02-09,ATOMUSDT,10007.018734206002
172,2020-02-09,EOSUSDT,10113.41425798001
173,2020-02-09,ETCUSDT,10501.983130780045
174,2020-02-09,LINKUSDT,10172.533650295987
175,2020-02-09,LTCUSDT,10132.552807825994
176,2020-02-09,TRXUSDT,10082.775909393999
177,2020-02-09,XRPUSDT,10588.57814511202
178,2020-02-09,ZECUSDT,10013.17964916
179,2020-02-10,ADAUSDT,10055.370070590003
180,2020-02-10,ATOMUSDT,10017.088278531997
181,2020-02-10,EOSUSDT,10114.54519806001
182,2020-02-10,ETCUSDT,10507.26710489205
183,2020-02-10,LINKUSDT,10179.414998631983
184,2020-02-10,LTCUSDT,10137.406462253992
185,2020-02-10,TRXUSDT,10087.954206381997
186,2020-02-10,XRPUSDT,10612.505143668017
187,2020-02-10,XTZUSDT,10029.613241079996
188,2020-02-10,ZECUSDT,10013.136745955999
189,2020-02-11,ADAUSDT,10056.148438710003
190,2020-02-11,ATOMUSDT,10019.608121247995
191,2020-02-11,BNBUSDT,10000.652394601999
192,2020-02-11,EOSUSDT,10115.67613814001
193,2020-02-11,ETCUSDT,10510.067083936057
194,2020-02-11,LINKUSDT,10188.12788042598
195,2020-02-11,LTCUSDT,10137.893877881992
196,2020-02-11,TRXUSDT,10089.671224577996
197,2020-02-11,XRPUSDT,10621.600747466018
198,2020-02-11,ZECUSDT,10016.961149136
199,2020-02-12,ATOMUSDT,10023.111230791994
200,2020-02-12,BNBUSDT,10001.800671575997
201,2020-02-12,EOSUSDT,10118.997198740013
202,2020-02-12,ETCUSDT,10513.962173772054
203,2020-02-12,LINKUSDT,10200.31337137198
204,2020-02-12,LTCUSDT,10139.382253573993
205,2020-02-12,XRPUSDT,10635.30224827602
206,2020-02-12,ZECUSDT,10018.844445096
207,2020-02-13,ADAUSDT,10094.740510488
208,2020-02-13,ATOMUSDT,10058.349206852003
209,2020-02-13,BNBUSDT,10004.13076365799
210,2020-02-13,EOSUSDT,10123.465790580012
211,2020-02-13,ETCUSDT,10551.143131270059
212,2020-02-13,LINKUSDT,10228.982033615977
213,2020-02-13,LTCUSDT,10172.843913841998
214,2020-02-13,TRXUSDT,10111.810345271995
215,2020-02-13,XRPUSDT,10693.436362622004
216,2020-02-13,XTZUSDT,10092.334655479995
217,2020-02-13,ZECUSDT,10022.618169899999
218,2020-02-14,ADAUSDT,10098.405866247998
219,2020-02-14,ATOMUSDT,10064.430714958002
220,2020-02-14,BNBUSDT,10006.288922869991
221,2020-02-14,EOSUSDT,10126.78266530001
222,2020-02-14,ETCUSDT,10558.266899348071
223,2020-02-14,LINKUSDT,10243.828346115975
224,2020-02-14,LTCUSDT,10175.820233947994
225,2020-02-14,TRXUSDT,10115.193202901995
226,2020-02-14,XRPUSDT,10731.688312463999
227,2020-02-14,XTZUSDT,10098.258997079996
228,2020-02-14,ZECUSDT,10026.384495695998
229,2020-02-15,ADAUSDT,10098.393882247998
230,2020-02-15,ATOMUSDT,10134.505918518005
231,2020-02-15,BNBUSDT,10009.002460105987
232,2020-02-15,EOSUSDT,10126.75160396001
233,2020-02-15,ETCUSDT,10603.376333934073
234,2020-02-15,LINKUSDT,10282.462820859968
235,2020-02-15,LTCUSDT,10182.359185439997
236,2020-02-15,TRXUSDT,10137.365851489996
237,2020-02-15,VETUSDT,10088.0239931232
238,2020-02-15,XRPUSDT,10872.255965599996
239,2020-02-15,XTZUSDT,10214.745927060001
240,2020-02-15,ZECUSDT,10103.112657787995
241,2020-02-16,ADAUSDT,10174.097139111993
242,2020-02-16,ATOMUSDT,10228.330479000002
243,2020-02-16,BNBUSDT,10012.691682687991
244,2020-02-16,EOSUSDT,10170.014458740005
245,2020-02-16,ETCUSDT,10686.105783064086
246,2020-02-16,LINKUSDT,10344.12921795197
247,2020-02-16,LTCUSDT,10206.369323917996
248,2020-02-16,TRXUSDT,10192.63317870599
249,2020-02-16,VETUSDT,10173.888361552403
250,2020-02-16,XRPUSDT,10990.730733419983
251,2020-02-16,XTZUSDT,10437.104140400004
252,2020-02-16,ZECUSDT,10241.209263373992
253,2020-02-17,ADAUSDT,10202.396395461989
254,2020-02-17,ATOMUSDT,10276.696121933997
255,2020-02-17,BNBUSDT,10017.184088878003
256,2020-02-17,EOSUSDT,10181.548172240005
257,2020-02-17,ETCUSDT,10826.359095570086
258,2020-02-17,LINKUSDT,10396.452524069964
259,2020-02-17,LTCUSDT,10219.063222548
260,2020-02-17,TRXUSDT,10215.32067715199
261,2020-02-17,VETUSDT,10257.313626326613
262,2020-02-17,XRPUSDT,11054.842044115981
263,2020-02-17,XTZUSDT,10510.836221079999
264,2020-02-17,ZECUSDT,10287.034583963987
265,2020-02-18,ADAUSDT,10208.724659153988
266,2020-02-18,ATOMUSDT,10298.06676466
267,2020-02-18,BNBUSDT,10020.705921964001
268,2020-02-18,EOSUSDT,10186.019521660008
269,2020-02-18,ETCUSDT,10838.084596322082
270,2020-02-18,LINKUSDT,10415.628014763957
271,2020-02-18,LTCUSDT,10223.44019877
272,2020-02-18,TRXUSDT,10218.887725307992
273,2020-02-18,VETUSDT,10266.06378516161
274,2020-02-18,XRPUSDT,11089.39480443998
275,2020-02-18,XTZUSDT,10512.070738839999
276,2020-02-18,ZECUSDT,10290.921736847986
277,2020-02-19,ADAUSDT,10247.788153311993
278,2020-02-19,ATOMUSDT,10357.234599387999
279,2020-02-19,BNBUSDT,10025.780834302
280,2020-02-19,EOSUSDT,10235.627890240004
281,2020-02-19,ETCUSDT,10860.852486700089
282,2020-02-19,LINKUSDT,10479.012796053961
283,2020-02-19,LTCUSDT,10424.385486100002
284,2020-02-19,TRXUSDT,10236.194408097992
285,2020-02-19,VETUSDT,10326.267964689016
286,2020-02-19,XRPUSDT,11213.913105519981
287,2020-02-19,XTZUSDT,10532.645177600001
288,2020-02-19,ZECUSDT,10304.505227837984
289,2020-02-20,ADAUSDT,10264.336065043997
290,2020-02-20,ATOMUSDT,10380.726104783997
291,2020-02-20,BNBUSDT,10027.823659900003
292,2020-02-20,EOSUSDT,10249.313954220004
293,2020-02-20,ETCUSDT,10879.911423500092
294,2020-02-20,LINKUSDT,10499.66647066396
295,2020-02-20,LTCUSDT,10435.009516422002
296,2020-02-20,TRXUSDT,10245.139442923994
297,2020-02-20,VETUSDT,10342.096651208614
298,2020-02-20,XRPUSDT,11284.674709071976
299,2020-02-20,XTZUSDT,10559.93075508
300,2020-02-20,ZECUSDT,10333.740170805988
301,2020-02-21,ADAUSDT,10265.149123363999
302,2020-02-21,ATOMUSDT,10386.957938561998
303,2020-02-21,BNBUSDT,10029.093119330008
304,2020-02-21,EOSUSDT,10251.581487080004
305,2020-02-21,ETCUSDT,10885.720540720096
306,2020-02-21,LINKUSDT,10511.635734783958
307,2020-02-21,LTCUSDT,10437.0649119
308,2020-02-21,TRXUSDT,10250.420497473991
309,2020-02-21,VETUSDT,10348.739788314815
310,2020-02-21,XRPUSDT,11306.409175361976
311,2020-02-21,XTZUSDT,10573.100190319998
312,2020-02-21,ZECUSDT,10339.578725797986
313,2020-02-22,ADAUSDT,10269.260477324
314,2020-02-22,ATOMUSDT,10392.679457326
315,2020-02-22,BNBUSDT,10029.454332410009
316,2020-02-22,EOSUSDT,10256.118272740001
317,2020-02-22,ETCUSDT,10893.00108028609
318,2020-02-22,LINKUSDT,10515.205505475957
319,2020-02-22,LTCUSDT,10445.759098100003
320,2020-02-22,TRXUSDT,10250.388934473991
321,2020-02-22,VETUSDT,10353.307220368417
322,2020-02-22,XRPUSDT,11310.077553325973
323,2020-02-22,XTZUSDT,10589.643398999999
324,2020-02-22,ZECUSDT,10339.534416677987
325,2020-02-23,ATOMUSDT,10393.198324461999
326,2020-02-23,BNBUSDT,10030.626982534008
327,2020-02-23,ETCUSDT,10896.84970487809
328,2020-02-23,LINKUSDT,10520.411296803959
329,2020-02-23,LTCUSDT,10448.293946432002
330,2020-02-23,TRXUSDT,10252.168259223992
331,2020-02-23,VETUSDT,10357.487716613015
332,2020-02-23,XRPUSDT,11316.79990200998
333,2020-02-23,XTZUSDT,10592.112387539997
334,2020-02-23,ZECUSDT,10343.496466125986
335,2020-02-24,ADAUSDT,10275.698747204
336,2020-02-24,ATOMUSDT,10486.009703483991
337,2020-02-24,BNBUSDT,10032.434886966013
338,2020-02-24,EOSUSDT,10261.864279300002
339,2020-02-24,ETCUSDT,10907.352121792088
340,2020-02-24,LINKUSDT,10578.950652323962
341,2020-02-24,LTCUSDT,10461.735210688003
342,2020-02-24,TRXUSDT,10260.94698230999
343,2020-02-24,VETUSDT,10379.136746104416
344,2020-02-24,XRPUSDT,11351.429768955975
345,2020-02-24,XTZUSDT,10706.529751659993
346,2020-02-24,ZECUSDT,10347.413629293987
347,2020-02-25,ADAUSDT,10281.755264764
348,2020-02-25,ATOMUSDT,10528.219168423993
349,2020-02-25,BNBUSDT,10034.132592704012
350,2020-02-25,EOSUSDT,10273.175335939999
351,2020-02-25,ETCUSDT,10913.12016247209
352,2020-02-25,LINKUSDT,10601.844642373962
353,2020-02-25,LTCUSDT,10467.286298522002
354,2020-02-25,TRXUSDT,10260.883455565989
355,2020-02-25,VETUSDT,10429.779362279214
356,2020-02-25,XRPUSDT,11378.25952642197
357,2020-02-25,XTZUSDT,10822.567696699994
358,2020-02-25,ZECUSDT,10347.32494674999
359,2020-02-26,ADAUSDT,10281.707760804002
360,2020-02-26,ATOMUSDT,10616.730750497987
361,2020-02-26,BNBUSDT,10038.317882172012
362,2020-02-26,EOSUSDT,10296.835986439995
363,2020-02-26,ETCUSDT,10976.993793688094
364,2020-02-26,LINKUSDT,10628.546149059963
365,2020-02-26,LTCUSDT,10513.830578754
366,2020-02-26,TRXUSDT,10260.819490165988
367,2020-02-26,VETUSDT,10529.367781474013
368,2020-02-26,XRPUSDT,11513.714142903968
369,2020-02-26,XTZUSDT,10962.764829559996
370,2020-02-26,ZECUSDT,10347.052938435989
371,2020-02-27,ADAUSDT,10227.374306855403
372,2020-02-27,ATOMUSDT,10678.994648551989
373,2020-02-27,BNBUSDT,10042.518113419997
374,2020-02-27,EOSUSDT,10304.771840119995
375,2020-02-27,ETCUSDT,10997.928479330114
376,2020-02-27,LINKUSDT,10650.172064399962
377,2020-02-27,LTCUSDT,10526.99986597
378,2020-02-27,TRXUSDT,10314.20099410999
379,2020-02-27,VETUSDT,10575.247818636017
380,2020-02-27,XRPUSDT,11544.98081825197
381,2020-02-27,XTZUSDT,10990.833827939996
382,2020-02-27,ZECUSDT,10472.18243411199
383,2020-02-28,ADAUSDT,10206.803826115103
384,2020-02-28,ATOMUSDT,10737.96815256199
385,2020-02-28,BNBUSDT,10046.390048756
386,2020-02-28,EOSUSDT,10316.435376419991
387,2020-02-28,ETCUSDT,11018.219145346111
388,2020-02-28,LINKUSDT,10672.233749397961
389,2020-02-28,LTCUSDT,10547.744701520001
390,2020-02-28,TRXUSDT,10323.11127334999
391,2020-02-28,VETUSDT,10605.027671923417
392,2020-02-28,XRPUSDT,11596.620254469975
393,2020-02-28,XTZUSDT,11032.053291259994
394,2020-02-28,ZECUSDT,10500.669939805988
395,2020-02-29,ADAUSDT,10094.058618712976
396,2020-02-29,ATOMUSDT,10745.57078417599
397,2020-02-29,BNBUSDT,10047.767271064002
398,2020-02-29,EOSUSDT,10320.987139019988
399,2020-02-29,ETCUSDT,11021.485976996106
400,2020-02-29,LINKUSDT,10677.229176997962
401,2020-02-29,LTCUSDT,10551.772774604
402,2020-02-29,TRXUSDT,10323.07948593199
403,2020-02-29,VETUSDT,10609.371647530217
404,2020-02-29,XRPUSDT,11609.203501499976
405,2020-02-29,XTZUSDT,11033.348479579994
406,2020-02-29,ZECUSDT,10502.64761485399
407,2020-03-01,ADAUSDT,10077.819708358555
408,2020-03-01,ATOMUSDT,10786.052271769993
409,2020-03-01,BNBUSDT,10048.906469094003
410,2020-03-01,EOSUSDT,10325.541298679987
411,2020-03-01,ETCUSDT,11027.207921438103
412,2020-03-01,LINKUSDT,10702.37094797796
413,2020-03-01,LTCUSDT,10554.26138851
414,2020-03-01,TRXUSDT,10326.57458289199
415,2020-03-01,VETUSDT,10620.354100709616
416,2020-03-01,XRPUSDT,11628.977566635975
417,2020-03-01,XTZUSDT,11048.454519639996
418,2020-03-01,ZECUSDT,10508.60310613999
419,2020-03-02,ADAUSDT,10095.621582683993
420,2020-03-02,ATOMUSDT,10788.783845687996
421,2020-03-02,BNBUSDT,10051.137634506007
422,2020-03-02,EOSUSDT,10326.679136979987
423,2020-03-02,ETCUSDT,11028.542408070103
424,2020-03-02,LINKUSDT,10709.023260525968
425,2020-03-02,LTCUSDT,10557.883315957997
426,2020-03-02,TRXUSDT,10328.318473061989
427,2020-03-02,VETUSDT,10638.98104427442
428,2020-03-02,XRPUSDT,11636.574567699969
429,2020-03-02,XTZUSDT,11056.393574519992
430,2020-03-02,ZECUSDT,10516.508877707989
431,2020-03-03,ADAUSDT,10097.306500923994
432,2020-03-03,ATOMUSDT,10798.052577611996
433,2020-03-03,BNBUSDT,10051.63790812401
434,2020-03-03,EOSUSDT,10330.128123819988
435,2020-03-03,ETCUSDT,11035.166574768104
436,2020-03-03,LINKUSDT,10719.879998897975
437,2020-03-03,LTCUSDT,10559.415167241998
438,2020-03-03,TRXUSDT,10331.898510241987
439,2020-03-03,VETUSDT,10651.36913604142
440,2020-03-03,XRPUSDT,11644.66773226197
441,2020-03-03,XTZUSDT,11066.788947619994
442,2020-03-03,ZECUSDT,10516.486348419989
443,2020-03-04,ADAUSDT,10098.980919463995
444,2020-03-04,ATOMUSDT,10800.223613919998
445,2020-03-04,BNBUSDT,10052.523093714015
446,2020-03-04,ETCUSDT,11052.841099308107
447,2020-03-04,LINKUSDT,10734.343465011974
448,2020-03-04,LTCUSDT,10561.356268423997
449,2020-03-04,TRXUSDT,10337.247882913985
450,2020-03-04,VETUSDT,10660.752156877623
451,2020-03-04,XRPUSDT,11649.266515475969
452,2020-03-04,ZECUSDT,10516.463818443988
453,2020-03-05,ADAUSDT,10099.812877443996
454,2020-03-05,ATOMUSDT,10805.068225563999
455,2020-03-05,BNBUSDT,10053.372873394017
456,2020-03-05,EOSUSDT,10331.279682059987
457,2020-03-05,ETCUSDT,11056.149715316104
458,2020-03-05,LINKUSDT,10738.504766515973
459,2020-03-05,LTCUSDT,10563.424677421996
460,2020-03-05,TRXUSDT,10337.216052821985
461,2020-03-05,VETUSDT,10665.034123145422
462,2020-03-05,XRPUSDT,11653.632642753966
463,2020-03-05,XTZUSDT,11066.766793219995
464,2020-03-05,ZECUSDT,10520.47833710199
465,2020-03-06,ADAUSDT,10101.411693943997
466,2020-03-06,ATOMUSDT,10814.848319028002
467,2020-03-06,BNBUSDT,10054.084828812012
468,2020-03-06,EOSUSDT,10334.75444701999
