date,1INCHUSDT,AAVEUSDT,ALGOUSDT,APEUSDT,APTUSDT,ARUSDT,ATOMUSDT,AUDIOUSDT,AVAXUSDT,AXSUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,CRVUSDT,DOGEUSDT,DOTUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,FETUSDT,FTMUSDT,GALAUSDT,GALUSDT,GMTUSDT,HNTUSDT,HOTUSDT,IMXUSDT,KAVAUSDT,KSMUSDT,LTCUSDT,MANAUSDT,MATICUSDT,NEARUSDT,OCEANUSDT,OMGUSDT,ONEUSDT,RENUSDT,ROSEUSDT,RSRUSDT,SANDUSDT,SKLUSDT,SNXUSDT,SUSHIUSDT,SXPUSDT,THETAUSDT,TRXUSDT,UNIUSDT,WAVESUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT
2020-02-05,,,,,,,,,,,,,,,,,,,,,,8542.683907686322,10249.817514706003,,,,,,,,,,,10304.015208304012,,,,,,,,,,,,,,,,10294.159358068004,,,10139.728240510009,,10000.359688544,,
2020-02-06,,,,,,,,,,,,,,,,,,,,,,8442.113617986997,10268.477550768,,,,,,,,,,,10304.015208304012,,,,,,,,,,,,,,,,10422.308537816,,,10142.866903116006,,10004.207519098001,,
2020-02-07,,,,,,,,,,,,,,,,,,,,,,8343.175756471654,10272.675009661987,,,,,,,,,,,10304.015208304012,,,,,,,,,,,,,,,,10458.28572067799,,,10145.309480120006,10014.982787459998,10007.127153004001,,
2020-02-08,,,,,,,10005.382572702001,,,,,,,,,,,,,,,8246.555315240328,10277.446150723974,,,,,,,,,,,10301.954501586011,,,,,,,,,,,,,,,,10463.800833135992,,,10150.726443530008,10054.633945239995,10014.371670538001,,
2020-02-09,,,,,,,10010.840955788002,,,,,,,,,,,,,,,8131.384786433377,10280.414258113971,,,,,,,,,,,10326.138187550014,,,,,,,,,,,,,,,,10467.783850665992,,,10153.240703420006,10162.344772459994,10017.114144025998,,
2020-02-10,,,,,,,10016.231265406004,,,,10008.366474029996,,,,,,,,,,,8015.486801067032,10284.57384313195,,,,,,,,,,,10330.765965128017,,,,,,,,,,,,,,,,10470.77320767199,,,10154.438527248009,10216.381248639991,10019.294556063995,,
2020-02-11,,,,,,,10055.935039886006,,,,10012.232369387995,,,,,,,,,,,7907.613583942292,10287.433301821939,,,,,,,,,,,10340.056053024016,,,,,,,,,,,,,,,,10486.755956619996,,,10155.619227094008,10306.797211779998,10020.023852575994,,
2020-02-12,,,,,,,10068.52657266201,,,,10019.695322239997,,,,,,,,,,,7780.572225584522,10289.945233329938,,,,,,,,,,,10344.266123992018,,,,,,,,,,,,,,,,10500.131471280001,,,10155.557263028008,10306.721181459998,10029.168321201993,,
2020-02-13,,,,,,,10076.69609246001,,,,10033.359330885993,,,,,,,,,,,7648.936344501521,10300.535257023928,,,,,,,,,,,10362.58165118202,,,,,,,,,,,,,,,,10552.12382489801,,,10218.311294306013,10394.746275899997,10035.436094945997,,
2020-02-14,,,,,,,10079.43227893401,,,,10038.831830203988,,,,,,,,,,,7520.3027165543635,10301.535315797932,,,,,,,,,,,10364.046299242018,,,,,,,,,,,,,,,,10603.618202338013,,,10223.616859316011,10435.395527586285,10035.796803965997,,
