date,ALGOUSDT,APEUSDT,AVAXUSDT,CHZUSDT,COMPUSDT,EOSUSDT,ETCUSDT,GALUSDT,GMTUSDT,HOTUSDT,IMXUSDT,KAVAUSDT,KSMUSDT,LTCUSDT,MATICUSDT,RNDRUSDT,SANDUSDT,SNXUSDT,SUSHIUSDT,WAVESUSDT,XRPUSDT,XTZUSDT
2020-03-03,,,,,,11123.802926420009,10815.619112522018,,,,,,,10535.910854790032,,,,,,,10326.10081604601,11106.725846080084
2020-03-04,,,,,,11127.23213322001,10819.201651170019,,,,,,,10541.859594810034,,,,,,,10327.308641564008,11157.230889240085
2020-03-05,,,,,,11127.16642424001,10830.334612792018,,,,,,,10551.175426148033,,,,,,,10327.287918772008,11231.281482680082
2020-03-06,,,,,,11167.069554100008,10833.915902300014,,,,,,,10554.540902098033,,,,,,,10327.245735486009,11239.103958120082
2020-03-07,,,,,,11171.022378500009,10836.593558298015,,,,,,,10559.47062867604,,,,,,,10331.603390998009,11249.712839060081
2020-03-08,,,,,,11171.022378500009,10836.593558298015,,,,,,,10560.302576878043,,,,,,,10338.55980404601,11262.720452580084
2020-03-09,,,,,,11172.172585740009,10855.956567798008,,,,,,,10560.289394290043,,,,,,,10344.286655586016,11272.113305980083
2020-03-10,,,,,,11175.01510044001,10859.548985296007,,,,,,,10570.69764792804,,,,,,,10347.924383706017,11313.463591860085
2020-03-11,,,,,,11178.45483828001,10864.049653958005,,,,,,,10574.33318380604,,,,,,,10349.969503082015,11326.427954640085
2020-03-12,,,,,,11181.32110742001,10868.558514618004,,,,,,,10575.881797488044,,,,,,,10361.505596224008,11338.522606320084
2020-03-13,,,,,,11372.10438142001,11537.852606848006,,,,,,,10703.792099088043,,,,,,,10452.575319074014,11634.828195940083
2020-03-14,,,,,,11400.436067780009,11569.044449504006,,,,,,,10734.666719744037,,,,,,,10460.605227466014,11701.155110720074
2020-03-15,,,,,,11442.380710380014,11595.072533806006,,,,,,,10768.001406552032,,,,,,,10485.628233920017,11786.365907480063
2020-03-16,,,,,,11462.064286860015,11633.163614232011,,,,,,,10787.425511322024,,,,,,,10516.29637448602,11804.039871880066
2020-03-17,,,,,,11497.11317376002,11660.17687077001,,,,,,,10823.169551544011,,,,,,,10529.496611650022,11953.83325846007
2020-03-18,,,,,,11505.529424760025,11667.97141733001,,,,,,,10842.898497042006,,,,,,,10533.81925230202,11990.731406200079
2020-03-19,,,,,,11650.302371040023,11703.116647602013,,,,,,,10882.074831177995,,,,,,,10574.416463907251,12147.79017400008
2020-03-20,,,,,,11704.287290040033,11724.092842938015,,,,,,,10907.829543826008,,,,,,,10623.19129425602,12237.11673990008
2020-03-21,,,,,,11731.169565840035,11737.666317372015,,,,,,,10930.81635085601,,,,,,,10627.692118704026,12283.124402480084
2020-03-22,,,,,,11758.503965900034,11743.931304200012,,,,,,,10936.90699394601,,,,,,,10633.311106682022,12301.904602020084
2020-03-23,,,,,,11809.423779440032,11777.175314046011,,,,,,,10961.465716342005,,,,,,,10643.67425821202,12376.999321640085
2020-03-24,,,,,,11826.62882550003,11785.457308984009,,,,,,,10984.493017506016,,,,,,,10646.32275578802,12411.88117556009
2020-03-25,,,,,,11838.97651970003,11792.703400482007,,,,,,,10997.75795277802,,,,,,,10648.881438196018,12432.263602620096
2020-03-26,,,,,,11844.492708300031,11795.670131922006,,,,,,,11008.292872436024,,,,,,,10648.849284906019,12435.013990620097
2020-03-27,,,,,,11855.64439664003,11802.997869358009,,,,,,,11016.501874984027,,,,,,,10697.32953274202,12440.623630280097
2020-03-28,,,,,,11855.61560214003,11804.946137958008,,,,,,,11025.593265978032,,,,,,,10702.353239432025,12446.9594952601
2020-03-29,,,,,,11861.220952500029,11812.72870051201,,,,,,,11031.148876054034,,,,,,,10706.206063494023,12453.913688200097
2020-03-30,,,,,,11861.192157000029,11817.110752048013,,,,,,,11039.569524456032,,,,,,,10706.184566488022,12480.231923647945
2020-03-31,,,,,,11880.59334518003,11822.00936800001,,,,,,,11042.602246624032,,,,,,,10706.018181820022,12516.72551382009
2020-04-01,,,,,,11900.633488620027,11828.378656528012,,,,,,,11045.80223120804,,,,,,,10718.50272254402,12523.225121980087
2020-04-02,,,,,,11944.930084800026,11845.980768896014,,,,,,,11067.062073726034,,,,,,,10734.893151968019,12570.381154420078
2020-04-03,,,,,,11954.853620380025,11847.952005436013,,,,,,,11071.986707098034,,,,,,,10735.769891918018,12584.835013380081
2020-04-04,,,,,,11963.425158520027,11848.926714094012,,,,,,,11076.712710976037,,,,,,,10737.048844058017,12588.74743658008
2020-04-05,,,,,,11967.716124620027,11851.923446302011,,,,,,,11079.080035380039,,,,,,,10737.478454148017,12588.74743658008
2020-04-06,,,,,,11967.645413660028,11851.826507038011,,,,,,,11093.73352096804,,,,,,,10737.456917832018,12649.12384464008
2020-04-07,,,,,,11949.342576023088,11916.449018282017,,,,,,,11110.005932854034,,,,,,,10788.374545142016,12738.565688640085
2020-04-08,,,,,,11917.595205818265,11933.199930306015,,,,,,,11123.283380242032,,,,,,,10792.558925540014,12765.536876980083
2020-04-09,,,,,,11863.727115453907,11938.164420446015,,,,,,,11128.124359100028,,,,,,,10794.266549502014,12804.475773940085
2020-04-10,,,,,,11896.442381520028,11942.556137592015,,,,,,,11132.996357688025,,,,,,,10799.672776272013,12823.798574820088
2020-04-11,,,,,,11900.14446676003,11945.568130654015,,,,,,,11137.571563654028,,,,,,,10801.459000756011,12839.04529080009
2020-04-12,,,,,,11908.851553400029,11949.962621952014,,,,,,,11142.210003454025,,,,,,,10803.29639831001,12861.83328650009
2020-04-13,,,,,,11912.63234684003,11953.979748408014,,,,,,,11146.377247222026,,,,,,,10805.925272282011,12867.086344720095
2020-04-14,,,,,,11915.731869700028,11953.881982168014,,,,,,,11149.496423476026,,,,,,,10807.25440911001,12871.013853760096
2020-04-15,,,,,,11926.71821454003,11959.413475350013,,,,,,,11152.453706672033,,,,,,,10809.364467568012,12874.277029320097
2020-04-16,,,,,,12019.931679940031,11959.384865782013,,,,,,,11152.439780660034,,,,,,,10825.127586740015,12875.607510822761
2020-04-17,,,,,,12023.739070420032,11959.384865782013,,,,,,,11152.439780660034,,,,,,,10825.993086908013,12855.983405711302
2020-04-18,,,,,,12026.742199180031,11957.021654932014,,,,,,,11152.439780660034,,,,,,,10825.971277592012,12765.074434448266
2020-04-19,,,,,,12039.073996560031,12020.301468210022,,,,,,,11152.439780660034,,,,,,,10828.768665158015,12627.08176251607
2020-04-20,,,,,,12044.587773040032,12025.298292124018,,,,,,,11161.607301486034,,,,,,,10832.188110748011,12370.165368687809
2020-04-21,,,,,,12048.412844380031,12028.309088386017,,,,,,,11166.641619110034,,,,,,,10832.166362650012,12282.5213952401
2020-04-22,,,,,,12048.341704380031,12029.304360466016,,,,,,,11166.854589510034,,,,,,,10832.155478040013,12282.489763840102
2020-04-23,,,,,,12090.29946028003,12044.219143604016,,,,,,,11180.429754552033,,,,,,,10847.546579274012,12405.317538720108
2020-04-24,,,,,,12094.62571820003,12048.244124816016,,,,,,,11189.434608838033,,,,,,,10848.414981240014,12456.049543820118
2020-04-25,,,,,,12104.701555140029,12052.709267294014,,,,,,,11196.218857196038,,,,,,,10849.282718252014,12491.80864408012
2020-04-26,,,,,,12109.00362150003,12067.588697340014,,,,,,,11198.859379188036,,,,,,,10849.712249372013,12496.930783440117
2020-04-27,,,,,,12121.565725860028,12069.594931064015,,,,,,,11203.417064034029,,,,,,,10849.690444696014,12500.638984140116
2020-04-28,,,,,,12122.807989860028,12071.583927472017,,,,,,,11208.029826468026,,,,,,,10849.679456920014,12535.292699880112
2020-04-29,,,,,,12181.19680805778,12136.459598834013,,,,,,,11207.491160610025,,,,,,,10848.595274802017,12559.156749020116
2020-04-30,,,,,,12274.340282000028,12143.904310718013,,,,,,,11221.244472314016,,,,,,,10887.79735947402,12574.932673160114
2020-05-01,,,,,,12278.730139700028,12143.875262738013,,,,,,,11224.875579868014,,,,,,,10890.910019694018,12590.200666340113
2020-05-02,,,,,,12278.657554800027,12206.797897912016,,,,,,,11225.639193436014,,,,,,,10890.888161478018,12591.474006600114
2020-05-03,,,,,,12302.274923540026,12214.280843308015,,,,,,,11239.144331652016,,,,,,,10893.589549186021,12596.47524394011
2020-05-04,,,,,,12303.577922900027,12230.867651974017,,,,,,,11244.589208854015,,,,,,,10894.904708282022,12600.22797460011
2020-05-05,,,,,,12306.723207320027,12238.389664632014,,,,,,,11248.98879654602,,,,,,,10897.527166854019,12628.96598742011
2020-05-06,,,,,,12312.380475160026,12240.420761648013,,,,,,,11253.442694616024,,,,,,,10899.27304843802,12633.336066540112
2020-05-07,,,,,,12326.352935120025,12248.993173062014,,,,,,,11255.391280156022,,,,,,,10899.25114831002,12642.86114642011
2020-05-08,,,,,,12333.332537700024,12254.474448588013,,,,,,,11263.411021166023,,,,,,,10901.151316978021,12645.373676460109
2020-05-09,,,,,,12345.215769820023,12260.585620764012,,,,,,,11271.160189464026,,,,,,,10902.901364196021,12659.34969592011
2020-05-10,,,,,,12347.797856740022,12263.63535930001,,,,,,,11274.717304434029,,,,,,,10911.496343014023,12670.091939280108
2020-05-11,,,,,,12356.10779472002,12268.17488818001,,,,,,,11281.584948096026,,,,,,,10919.813023248025,12688.10235826011
2020-05-12,,,,,,12362.21384664002,12271.69628972801,,,,,,,11288.142159452027,,,,,,,10922.514717732029,12701.39443728011
2020-05-13,,,,,,12362.14086272002,12273.742456582011,,,,,,,11287.982889342029,,,,,,,10922.492801394028,12701.36166492011
2020-05-14,,,,,,12369.692995040019,12277.25556842001,,,,,,,11293.686306664029,,,,,,,10924.328153964027,12706.393794780111
2020-05-15,,,,,,12395.294446560021,12291.08797124201,,,,,,,11299.09906008603,,,,,,,10926.114902794028,12709.502473460112
2020-05-16,,,,,,12405.376505020024,12294.598606092011,,,,,,,11303.785135904032,,,,,,,10926.092934434027,12709.469734280112
2020-05-17,,,,,,12409.777907340023,12296.63983038201,,,,,,,11308.021327252032,,,,,,,10926.081957936027,12742.572485920107
