date,AAVEUSDT,ADAUSDT,AGIXUSDT,ALGOUSDT,ALPHAUSDT,ANKRUSDT,APEUSDT,APTUSDT,ATOMUSDT,AUDIOUSDT,AVAXUSDT,AXSUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,CRVUSDT,DOGEUSDT,DOTUSDT,DYDXUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,FETUSDT,FTMUSDT,GALAUSDT,GALUSDT,GMTUSDT,GRTUSDT,HBARUSDT,HOTUSDT,IMXUSDT,INJUSDT,KAVAUSDT,KSMUSDT,LINKUSDT,LTCUSDT,NEARUSDT,OCEANUSDT,OMGUSDT,ONEUSDT,OPUSDT,RENUSDT,RNDRUSDT,ROSEUSDT,RUNEUSDT,SANDUSDT,SKLUSDT,SNXUSDT,SUSHIUSDT,SXPUSDT,TRXUSDT,VETUSDT,WAVESUSDT,WOOUSDT,XRPUSDT,XTZUSDT,ZILUSDT,ZRXUSDT
2020-01-29,,,,,,,,,,,,,,,,,,,,,,,,,10173.513492919992,10730.379185863998,,,,,,,,,,,,,10712.836670061992,10564.839996093993,,,,,,,,,,,,,,,10697.191233732,,,,10823.764416937998,,,
2020-01-30,,,,,,,,,,,,,,,,,,,,,,,,,10175.790582419992,10764.72998876199,,,,,,,,,,,,,10716.854441453994,10570.699542709994,,,,,,,,,,,,,,,10859.870022751997,,,,10867.233188479997,,,
2020-01-31,,,,,,,,,,,,,,,,,,,,,,,,,10178.010868739992,10820.979155639981,,,,,,,,,,,,,10747.863468609996,10642.914653669994,,,,,,,,,,,,,,,11033.256653617776,,,,10895.429252149994,,,
2020-02-01,,10007.58340876,,,,,,,,,,,,,,,,,,,,,,,10193.88368029999,10836.29553906598,,,,,,,,,,,,,10770.962467517995,10666.775297273993,,,,,,,,,,,,,,,11072.64721460155,,,,10900.531396649994,,,
2020-02-02,,10029.807636840002,,,,,,,,,,,,,,,,,,,,,,,10196.170894059991,10851.632825267976,,,,,,,,,,,,,10775.040695873995,10716.229896227993,,,,,,,,,,,,,,,11090.08856612601,,,,10905.585357449994,,,
2020-02-03,,10085.99422544,,,,,,,,,,,,,,,,,,,,,,,10198.41006405999,10866.253615147967,,,,,,,,,,,,,10794.063126899995,10757.993470359992,,,,,,,,,,,,,,,11150.640328719815,,,,10931.657563387997,,,
2020-02-04,,10184.610744292,,,,,,,,,,,,,,,,,,,,,,,10202.93745627999,10893.508171933963,,,,,,,,,,,,,10821.251819349995,10764.032142383994,,,,,,,,,,,,,,,11251.895396094014,,,,10947.713845685996,,,
2020-02-05,,10184.610744292,,,,,,,,,,,,,,,,,,,,,,,10202.93745627999,10896.754039263962,,,,,,,,,,,,,10821.251819349995,10770.120968693995,,,,,,,,,,,,,,,11265.585754446012,,,,10957.677707957997,,,
2020-02-06,,10226.857640752,,,,,,,,,,,,,,,,,,,,,,,10214.383686879992,10978.809395715953,,,,,,,,,,,,,10837.412014145995,10818.132693465996,,,,,,,,,,,,,,,11373.085513140011,,,,11039.180937983996,,,
2020-02-07,,10226.733669551999,,,,,,,,,,,,,,,,,,,,,,,10221.184407379993,11000.72055430595,,,,,,,,,,,,,10841.392241763995,10836.549432915996,,,,,,,,,,,,,,,11652.96267075019,,,,11049.227433663995,10011.781647600003,,
2020-02-08,,10311.888058572,,,,,,,10010.204868236002,,,,,,,,,,,,,,,,10223.452428259994,11013.43028121994,,,,,,,,,,,,,10868.421129433997,10842.699708211996,,,,,,,,,,,,,,,11895.469015249808,,,,11169.601335669995,10073.87063796,,
2020-02-09,,10319.819625171998,,,,,,,10039.716482364001,,,,,,,,,,,,,,,,10227.929007259994,11028.672001811934,,,,,,,,,,,,,10912.259872916,10854.839434347998,,,,,,,,,,,,,,,12012.071092959688,,,,11179.878039285994,10073.87063796,,
