date,1INCHUSDT,AAVEUSDT,ADAUSDT,AGIXUSDT,ALGOUSDT,ALPHAUSDT,ANKRUSDT,APEUSDT,APTUSDT,ARUSDT,ATOMUSDT,AUDIOUSDT,AVAXUSDT,AXSUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,CRVUSDT,DOGEUSDT,DOTUSDT,DYDXUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,FETUSDT,FTMUSDT,GALAUSDT,GALUSDT,GMTUSDT,GRTUSDT,HBARUSDT,HNTUSDT,HOTUSDT,IMXUSDT,INJUSDT,KAVAUSDT,KSMUSDT,LINKUSDT,LTCUSDT,MANAUSDT,MATICUSDT,NEARUSDT,OCEANUSDT,OMGUSDT,ONEUSDT,OPUSDT,RENUSDT,RNDRUSDT,ROSEUSDT,RSRUSDT,RUNEUSDT,SANDUSDT,SKLUSDT,SNXUSDT,SUSHIUSDT,SXPUSDT,THETAUSDT,TRXUSDT,UNIUSDT,VETUSDT,WAVESUSDT,WOOUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT
2020-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,10087.597650020007,10375.500342930016,,,,,,,,,,,,,,10124.360395177988,10091.902630929982,,,,,,,,,,,,,,,,,,,10039.669927331997,,,,,10419.750561764025,,,,
2020-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,10088.700220580007,10402.574421516016,,,,,,,,,,,,,,10124.327376773987,10099.729550807997,,,,,,,,,,,,,,,,,,,10046.553656355998,,,,,10431.041524128028,,,,
2020-02-01,,,10000.744007340001,,,,,,,,,,,,,,,,,,,,,,,,10096.567046960008,10409.933397638017,,,,,,,,,,,,,,10126.997705005986,10103.643711366,,,,,,,,,,,,,,,,,,,10049.988881382,,,,,10434.722024404027,,,,
2020-02-02,,,10003.239465300001,,,,,,,,,,,,,,,,,,,,,,,,10097.69852008001,10417.298551748016,,,,,,,,,,,,,,10129.362220489988,10108.979006636,,,,,,,,,,,,,,,,,,,10051.744046486,,,,,10441.258773788024,,,,
2020-02-03,,,10008.677305160003,,,,,,,,,,,,,,,,,,,,,,,,10098.80750008001,10424.312499938022,,,,,,,,,,,,,,10129.329184521988,10112.310490012002,,,,,,,,,,,,,,,,,,,10055.159978861999,,,,,10459.38999576202,,,,
2020-02-04,,,10021.255208572005,,,,,,,,,,,,,,,,,,,,,,,,10101.054301360009,10437.379912048023,,,,,,,,,,,,,,10129.306513665988,10114.164732988002,,,,,,,,,,,,,,,,,,,10058.586211061998,,,,,10471.58075928802,,,,
2020-02-05,,,10021.255208572005,,,,,,,,,,,,,,,,,,,,,,,,10101.054301360009,10438.934887788022,,,,,,,,,,,,,,10136.254594449987,10115.523389044003,,,,,,,,,,,,,,,,,,,10058.586211061998,,,,,10479.717871098019,,,,
2020-02-06,,,10026.734157370005,,,,,,,,,,,,,,,,,,,,,,,,10106.72101508001,10478.21025921203,,,,,,,,,,,,,,10139.424547677987,10121.812152546001,,,,,,,,,,,,,,,,,,,10060.275133313999,,,,,10519.343992120019,,9999.978572584,,
2020-02-07,,,10026.722252730005,,,,,,,,,,,,,,,,,,,,,,,,10110.08324372001,10488.664053988035,,,,,,,,,,,,,,10148.935038695989,10125.257515251997,,,,,,,,,,,,,,,,,,,10065.40306796,,,,,10524.718937980017,,10001.879260668,,
2020-02-08,,,10038.723239750005,,,,,,,,9999.990001792,,,,,,,,,,,,,,,,10111.20399088001,10494.722465736042,,,,,,,,,,,,,,10165.087332955987,10129.579383471997,,,,,,,,,,,,,,,,,,,10079.359027311999,,,,,10576.79447116402,10028.450613759998,10011.296392092,,
2020-02-09,,,10039.479254750004,,,,,,,,10007.018734206002,,,,,,,,,,,,,,,,10113.41425798001,10501.983130780045,,,,,,,,,,,,,,10172.533650295987,10132.552807825994,,,,,,,,,,,,,,,,,,,10082.775909393999,,,,,10588.57814511202,10028.450613759998,10013.17964916,,
2020-02-10,,,10055.370070590003,,,,,,,,10017.088278531997,,,,,,,,,,,,,,,,10114.54519806001,10507.26710489205,,,,,,,,,,,,,,10179.414998631983,10137.406462253992,,,,,,,,,,,,,,,,,,,10087.954206381997,,,,,10612.505143668017,10029.613241079996,10013.136745955999,,
2020-02-11,,,10056.148438710003,,,,,,,,10019.608121247995,,,,10000.652394601999,,,,,,,,,,,,10115.67613814001,10510.067083936057,,,,,,,,,,,,,,10188.12788042598,10137.893877881992,,,,,,,,,,,,,,,,,,,10089.671224577996,,,,,10621.600747466018,10029.613241079996,10016.961149136,,
2020-02-12,,,10056.148438710003,,,,,,,,10023.111230791994,,,,10001.800671575997,,,,,,,,,,,,10118.997198740013,10513.962173772054,,,,,,,,,,,,,,10200.31337137198,10139.382253573993,,,,,,,,,,,,,,,,,,,10089.671224577996,,,,,10635.30224827602,10029.613241079996,10018.844445096,,
2020-02-13,,,10094.740510488,,,,,,,,10058.349206852003,,,,10004.13076365799,,,,,,,,,,,,10123.465790580012,10551.143131270059,,,,,,,,,,,,,,10228.982033615977,10172.843913841998,,,,,,,,,,,,,,,,,,,10111.810345271995,,,,,10693.436362622004,10092.334655479995,10022.618169899999,,
