date,1INCHUSDT,AAVEUSDT,ADAUSDT,AGIXUSDT,ALGOUSDT,ALPHAUSDT,ANKRUSDT,APEUSDT,APTUSDT,ARUSDT,ATOMUSDT,AUDIOUSDT,AVAXUSDT,AXSUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,CRVUSDT,DOGEUSDT,DOTUSDT,DYDXUSDT,EGLDUSDT,ENJUSDT,ENSUSDT,EOSUSDT,ETCUSDT,FETUSDT,FTMUSDT,GALAUSDT,GALUSDT,GMTUSDT,GRTUSDT,HBARUSDT,HNTUSDT,HOTUSDT,IMXUSDT,INJUSDT,KAVAUSDT,KSMUSDT,LINKUSDT,LTCUSDT,MANAUSDT,MATICUSDT,NEARUSDT,OCEANUSDT,OMGUSDT,ONEUSDT,OPUSDT,RENUSDT,RNDRUSDT,ROSEUSDT,RSRUSDT,RUNEUSDT,SANDUSDT,SKLUSDT,SNXUSDT,SUSHIUSDT,SXPUSDT,THETAUSDT,TRXUSDT,UNIUSDT,VETUSDT,WAVESUSDT,WOOUSDT,XRPUSDT,XTZUSDT,ZECUSDT,ZILUSDT,ZRXUSDT
2021-05-26,18119.1428060803,32028.41093125986,17474.28228647404,,29250.064398109964,12791.30287278178,16401.29606066585,,,,36404.372395130245,,13467.390315100096,17674.218154887956,10407.87397700185,0.01,19384.814181382004,28198.83722170216,13415.606382699942,23429.74703409987,39020.20914485879,17502.04845627985,,46545.45701969992,15300.12199130788,,20664.01440078017,48924.48496843193,,21373.15345874105,,,,20338.64907479998,19274.11213295202,21015.737928040002,23603.212173619133,,,12203.578493504128,17923.286756380003,47617.393713960206,32836.45148379584,13767.555721160215,300936.2358965187,15270.591589180252,17208.35657699805,30289.97836203809,19364.175231345973,,11897.716389445888,,,15109.548258354003,29305.38832316013,14548.210320884195,15156.12577462996,36845.94180747998,10015.320557740006,28823.526418113965,17297.260109934075,0.01,12383.041862660026,46617.136759229,40065.30887317608,,219909.84251009612,0.01,22485.196818567878,14870.097414062013,12724.40961534801
2021-05-27,18177.737381380313,32074.64318305987,17523.74004117404,,29295.233093115963,12802.635361321785,16412.96852668785,,,,36584.265669084205,,13482.723289100108,17698.154487287946,10407.87397700185,0.01,19405.623954289997,28297.14516947615,13447.787938073943,23488.941488919874,39164.434322602785,17532.47196117985,,46640.337412259905,15318.87339368788,,20689.061992480147,49043.465845083876,,21434.74411178905,,,,20417.020169855972,19335.598542976026,21026.06785344,23949.547098152532,,,12205.157923190132,17959.30200558001,47728.5863518382,32867.49110742383,13808.812592240221,304405.23540085094,15298.164590480259,17244.930053558048,30322.155899166086,19389.573969271954,,11900.396337841887,,,15117.756698287198,29357.74835836013,14564.10170899221,15166.958054063964,36937.94065659998,10015.320557740006,28868.879746923958,17344.954176836058,0.01,12384.602395860029,46931.02659540742,40123.515853572055,,221712.9559888841,0.01,22510.578979291873,14880.90880359201,12725.381290230012
2021-05-28,18347.28169128032,32701.62913525988,17658.944205534026,,29576.181020947963,12812.230202775783,16536.353398689855,,,,37172.53835804425,,13527.680247700122,17754.995856687932,10407.87397700185,0.01,19645.200104981985,28602.918146140153,13657.951733609942,23606.33889121988,39465.44726804474,17679.931966119846,,46932.19337121988,15446.843154687907,,20798.634194780137,49471.41357589182,,21599.741592733048,,,,20635.72236671198,19669.48200071802,21077.398030239998,24771.845147506738,,,12212.040736310135,18073.92785738001,48138.0747714122,32984.11727024782,13888.15820796021,310760.6942747952,15341.604833540267,17393.75593445806,30700.478461570096,19471.88110235596,,11923.323729237887,,,15180.979463120997,29866.00957856013,14633.691045742211,15242.457392949962,37346.92045773998,10015.320557740006,28972.739621119978,17479.80400011806,0.01,12405.373286860035,47864.70041164381,40405.26546154207,,224547.83276726614,0.01,22629.219904311864,14896.951652672014,12749.044970900006
2021-05-29,18476.73037490033,32989.0579574599,17761.88208671404,,29685.60881418796,12815.479882063784,16554.34784767585,,,,37539.02533936821,,13548.326571300127,17799.65823728793,10407.87397700185,0.01,19803.92426847198,28757.78404625016,13691.399203957952,23640.658025479876,39712.78002203074,17749.078246619825,,47391.84337907987,15521.277714347916,,20833.60946434014,49657.03619502786,,21688.992021677044,,,,20722.64170992399,19776.40585252403,21378.817447678608,25063.966800651535,,,12218.382781268123,18148.025809380004,48300.923783002196,33030.85802613782,13926.269261280213,314958.9732652671,15372.517092800268,17524.77584597807,30901.45456802409,19509.83553176396,,12012.759757937889,,,15216.248219518,30109.660214560136,14665.942542280218,15283.001008061952,37514.465868919986,10015.320557740006,29015.674503565977,17541.61077875405,0.01,12429.162059860037,48473.19404331241,40502.10884317406,,227263.86284761812,0.01,22742.49800920787,14908.45044655402,12772.427304892011
2021-05-30,18509.328838660305,33020.534378259916,17763.202416494038,,29737.524569173955,12825.24431915778,16559.72794713985,,,,37651.51370567022,,13553.628160100128,17881.70840028793,10407.87397700185,0.01,19873.19756741998,28835.04114081415,13698.848894681949,23648.860130699868,39776.63194943673,17778.63205091983,,47522.444692519864,15533.966638627928,,20854.61724290014,49740.04273249778,,21721.26490739105,,,,20746.004818313988,19810.02077179204,21796.389343239993,25110.99984964774,,,12225.379465976124,18159.739996579985,48407.6281289842,33075.24336644981,13955.835727020207,316707.80158522114,15389.507870980275,17546.037478458067,30956.88269283408,19521.05380412597,,12020.458367471887,,,15227.7936253342,30148.71738136013,14683.301680188222,15314.857418799953,37614.14152509998,10015.320557740006,29028.32538450197,17566.453381836047,0.01,12438.602205660045,48671.010485895604,40536.33540925007,,228032.57092871223,0.01,22808.298612487873,14911.224327308018,12777.211404200012
2021-05-31,18523.87716850031,33056.03793625992,17779.95467791404,,29784.784235343952,12827.847256257777,16569.06393726785,,,,37764.260422386236,,13558.190024900132,17905.684327687937,10407.87397700185,0.01,19921.28475905598,28905.47509530815,13710.862261661949,23668.892470279876,39828.68193415071,17807.407476399843,,47669.30212427986,15552.165207967937,,20861.488968860143,49796.919385243775,,21753.660114339054,,,,20753.80251757199,19889.957169734043,21860.768463039996,25117.46589212134,,,12225.680028344126,18167.44621897999,48505.905595000186,33092.45811411982,13976.944326700199,317780.0471313593,15425.328685660272,17564.63363841807,30988.83785242408,19528.756483545978,,12022.290814303888,,,15232.5295332022,30189.060325960127,14699.942903202225,15325.61419758995,37717.90653227997,10015.320557740006,29064.259566209967,17604.434039564065,0.01,12445.079431260046,48797.77023779782,40593.77842825206,,228449.5802837162,0.01,22867.90845545387,14913.011484940016,12779.721868448014
2021-06-01,18579.82064626029,33075.15655065992,17791.64041247405,,29809.034836437957,12832.40873936978,16576.418499467844,,,,37822.613695462256,,13566.844386900128,17911.26383988794,10407.87397700185,0.01,19945.793623405974,28959.80523252815,13721.144687877946,23685.205074179874,40006.612456578696,17831.730013259825,,47702.00705625984,15565.647729867933,,20870.592742440145,49854.131143753766,,21787.116560279053,,,,20765.498955143987,19926.117788330044,21871.401121639992,25153.671721848343,,,12230.9640243821,18175.937123779997,48562.15105635019,33108.13899777382,13988.596194720198,318727.73520369944,15442.224763280274,17575.334977298073,31024.139250290078,19544.496242505982,,12022.290814303888,,,15235.357398363796,30261.65122236013,14716.810986678209,15337.213429573947,37791.98642461998,10015.320557740006,29083.66474092197,17640.529798102074,0.01,12448.811899860044,48876.35495710525,40645.289318466086,,229875.5842865821,0.01,22898.012151215873,14919.676605730017,12779.721868448014
2021-06-02,18588.604413100293,33080.438286659926,17792.948108874047,,29851.555287967964,12839.166041107783,16580.37762702184,,,,37839.57003789827,,13569.135730900125,17926.472101887935,10407.87397700185,0.01,19952.533621129976,29010.32279677815,13726.326590341947,23693.963968979875,40199.62866404673,17834.914230239825,,47767.56008585982,15572.684488267932,,20884.37934206014,49881.901715155735,,21799.544554497057,,,,20786.951710015986,19943.743963412035,21912.45083043999,25200.562862142742,,,12230.9640243821,18175.937123779997,48588.27842491218,33125.72751984584,13996.833570080204,318997.69782201946,15451.357783640275,17583.340024718073,31057.090065452074,19546.187060785982,,12023.653829727888,,,15239.598459057399,30271.38337096013,14726.30586779021,15347.643012701948,37823.442971299984,10015.320557740006,29095.23791859797,17648.815600852067,0.01,12450.010315060043,48949.935342945646,40661.05594650208,,230467.00033486425,0.01,22915.24193358187,14922.972665418018,12779.721868448014
2021-06-03,18613.67201126031,33095.721982259936,17798.06301255405,,29891.772340693973,12842.423845069781,16582.36412056984,,,,37848.99028215827,,13569.135730900125,17932.044474687933,10407.87397700185,0.01,19959.278536553975,29053.147719000157,13737.745627623945,23711.380776639882,40442.97535967869,17842.327131839826,,47833.401490859826,15587.150937747938,,20893.588495600143,49902.24614496973,,21818.151478113065,,,,20798.649464989983,19949.595924644032,21934.123255239992,25223.30234967115,,,12231.731576854101,18183.253259779995,48635.707836358204,33135.319551405846,14005.178389480205,319235.7349283194,15468.72799200028,17593.99262703807,31079.880147264073,19546.75510406598,,12024.335334367886,,,15243.1327971556,30304.117860760132,14733.998284478206,15356.09793487395,37890.17990243999,10015.320557740006,29103.588898293976,17674.126397066066,0.01,12452.079039460044,48966.59326659325,40693.86344374206,,230765.20620378622,0.01,22915.24193358187,14931.654863416015,12779.721868448014
2021-06-04,18687.583293160293,33189.2278712599,17909.603968914045,,29964.652756053973,12845.67969039178,16696.33531819584,,,,38192.95120088626,,13587.801500300142,17981.444613287924,10407.87397700185,0.01,20070.236839035966,29174.771443542155,13763.355511669943,23756.056340519885,40751.8770466967,17899.737300979818,,48109.80621585984,15651.917079927955,,20921.37369450016,50105.55240122974,,21938.326344159064,,,,20929.556530951988,20191.500120808032,21987.56636603999,25562.142898922157,,,12239.972530982099,18280.83389537999,48921.39400217622,33182.33919924385,14026.2637808602,326159.7409214793,15494.446823380282,17726.603043038067,31240.644157422063,19573.694426443984,,12070.931116745887,,,15273.354921421198,30577.956013760133,14765.104265772206,15376.687621811945,38041.52250343999,10015.320557740006,29163.376115851977,17736.485537514072,0.01,12461.875690260043,49525.37605541284,40842.11175045605,,233780.92288944608,0.01,23013.68805688187,14942.121919142013,12787.429146330016
2021-06-05,18737.112335240323,33241.75939525988,17951.18228261404,,29986.044721433977,12847.63559745978,16704.216627367845,,,,38366.51694392427,,13588.238310300141,17989.007707887922,10407.87397700185,0.01,20110.31846200796,29190.42698898615,13765.647977179942,23799.061379759885,40938.91683393469,17932.35356191982,,48232.99010185983,15674.781898447942,,20923.696487180157,50159.61260928375,,21976.809749319073,,,,20939.381768603987,20327.33889706403,21987.47320123999,25702.629495522146,,,12241.528541724094,18317.664317979983,49190.18761643022,33207.30205303584,14049.712514340195,330925.97490527923,15522.764421680284,17737.37957935807,31247.465256880063,19582.709756423996,,12071.609194787887,,,15275.481299449995,30670.762324560124,14778.054142812205,15392.031100929946,38067.93919354,10015.320557740006,29167.72978595198,17801.04196294408,0.01,12469.75480446004,49842.25073652224,40932.84648317606,,235232.8990642761,0.01,23018.010463265873,14949.658032528016,12789.274900852017
2021-06-06,18756.547258240334,33257.04174085987,17953.850154294047,,30116.839432695975,12856.10844893178,16709.226986291847,,,,38404.73511204227,,13594.052369100142,18009.605767687925,10407.87397700185,0.01,20122.223607919947,29226.46463082615,13792.253702459942,23805.767479559883,40950.19680684868,17941.95101225982,,48257.77082345984,15682.123558727955,,20935.718617000155,50174.340321139745,,22001.806064347074,,,,21028.87656814199,20339.17323334003,22029.558346839993,25719.243584537548,,,12243.34068110609,18328.725445179985,49205.33035953222,33213.739277189845,14052.195484580192,331273.3283074393,15526.259643100286,17780.24962851808,31326.435014900057,19587.723016187992,,12085.852940119885,,,15293.0686907816,30703.628997560114,14786.4733096322,15403.639513949945,38180.846644799996,10015.320557740006,29205.17232632199,17806.32664159407,0.01,12472.224545460042,49912.93657010946,40961.43226144006,,235365.7081136441,0.01,23048.326909177875,14951.926058196019,12792.728709266017
2021-06-07,18823.535117320353,33415.368201059864,17966.463239288583,,30131.13482290997,12861.983980185776,16710.222372851847,,,,38416.21999298627,,13610.372980100145,18020.908865887934,10407.87397700185,0.01,20270.279065359944,29253.92748531816,13816.649202481942,23811.54023907988,40966.600805261514,17947.28262809982,,48291.00993885984,15722.06952384796,,20940.300623680156,50248.612123813764,,22005.601963907076,,,,21052.58497591199,20345.048519980028,22029.46570363999,25983.79092976635,,,12246.53620562609,18359.76785117998,49568.10704935621,33216.96121231184,14059.69254500019,332872.2637596192,15532.451172200284,17782.963691018078,31336.689254996058,19597.213667907996,,12087.219466855884,,,15293.7787569416,30878.9673187905,14788.826371574201,15405.801855467944,38196.733430939996,10015.320557740006,29208.076508427992,17842.95280789808,0.01,12474.934193860041,50022.300231677844,40970.97246604805,,235497.53880453616,0.01,23061.349339843877,14955.48029170202,12794.674402886016
2021-06-08,18935.43688278034,33677.987718259865,17966.103826628583,,30583.083502369973,12868.505459645776,16828.456830243846,,,,38240.80005574103,,13641.308903100144,18130.282009687944,10407.87397700185,0.01,20627.85570620596,29547.87233363416,13864.77016522594,24040.652234579884,40940.7681506951,17963.37713669983,,49080.194915259824,15788.691319147962,,21007.73044840015,50514.50044222976,,22001.201327167084,,,,21296.875554761988,20728.108783548018,22339.443669639983,26407.782264637357,,,12260.187316710073,18457.89957697999,49877.02469108821,33397.61403197584,14119.266521440199,340036.14554765925,15567.998969600283,17842.881328154068,31745.40186651005,19631.585643313992,,12127.035348999885,,,15409.386105486403,31336.50907236011,14787.0728483742,15468.928114039943,38653.47786401999,10015.320557740006,29311.052588677998,17938.931795876095,0.01,12598.193027260038,49789.63742200449,41260.18741124608,,233533.47443004738,0.01,23409.51183221388,14975.71639817802,12854.317225482011
2021-06-09,19005.688037040352,33723.12712985985,17993.598380134044,,30612.18363141398,12871.769239799776,16838.99002370184,,,,38056.16538915606,,13651.521603100146,18164.685362487948,10407.87397700185,0.01,20661.226329215955,29611.39173444816,13872.312446889946,24060.467023219895,40617.9731568623,17988.16987043983,,49156.53352245982,15804.404733707965,,21019.325242640152,50557.54645745175,,22096.06263063708,,,,21330.885595707983,20781.23125245202,22372.639061639984,26428.57091321896,,,12265.937718576055,18464.00126257998,49963.85531951019,33415.07684449585,14139.869351800198,340932.25688597944,15597.613314380273,17875.469675794073,31791.070345826043,19637.70832371198,,12130.476478051882,,,15417.759680206804,31402.1125125601,14732.60928519221,15484.965868457944,38697.223531020005,10015.320557740006,29326.757065461996,17998.68922201211,0.01,12606.573283460042,49594.15665129506,41294.50988410008,,225721.63082949826,0.01,23435.934332151883,14977.269287788018,12856.583678226018
2021-06-10,19068.641379660367,33770.06373725986,18003.926217654043,,30686.50144029597,12873.079034789776,16847.063761611837,,,,38046.58514581438,,13659.633772900144,18205.091459887924,10407.87397700185,0.01,20680.204073523957,29680.445455296147,13886.659643819949,24093.413589959895,40616.809673126685,17998.031302299823,,49190.35463805981,15817.916362567961,,21021.67172308015,50622.147275907766,,22154.839109787084,,,,21352.93551596798,20816.242384466022,22383.717051639986,26481.90626390356,,,12271.78463592605,18485.605591579984,49985.68906992219,33427.69505457184,14148.3934867802,341507.6979433394,15609.152866480274,17883.576292114074,31880.926604798045,19645.281101997978,,12132.338645927883,,,15429.239600309,31618.120768760098,14747.397706964213,15501.030214617951,38729.42238012,10015.320557740006,29346.359486817997,18013.299947502113,0.01,12609.869624460041,49736.29208199326,41307.32145344809,,226481.94136897224,0.01,23440.348513265886,14980.300186002016,12857.89441309802
2021-06-11,19142.361508880327,33845.489887059855,18009.146949094047,,30722.98425967798,12876.352216147774,16855.01731179984,,,,37691.2877011543,,13671.461600700137,18243.26424948791,10407.87397700185,0.01,20709.585316769964,29692.399168228145,13896.538544739951,24131.93188385991,40711.9049528387,18027.281673579815,,49260.216189059814,15825.787431467958,,21028.66128784015,50675.10938384377,,22168.79607275308,,,,21386.050493859984,20859.424318776022,22394.828667639984,26542.457637586765,,,12274.30255810205,18550.445783979994,50094.49181779219,33453.18922438984,14177.143129400194,342886.93653109943,15624.395936880275,17921.455149254074,31891.368016968045,19661.30191263997,,12138.015617711882,,,15442.398553081002,31638.533968360098,14761.63156034622,15520.963652213948,39100.28648428,10015.320557740006,29367.405031549995,18082.459977576105,0.01,12622.98366026004,49932.70541451027,41323.89675866809,,227021.0006750123,0.01,23440.097448045886,14985.753362746007,12865.315491058022
