date,ALGOUSDT,ALPHAUSDT,APEUSDT,AVAXUSDT,BNBUSDT,CHRUSDT,CHZUSDT,COMPUSDT,COTIUSDT,DOTUSDT,EGLDUSDT,EOSUSDT,ETCUSDT,GALUSDT,GMTUSDT,GRTUSDT,HOTUSDT,IMXUSDT,INJUSDT,KAVAUSDT,KSMUSDT,LTCUSDT,MATICUSDT,NEARUSDT,OMGUSDT,ONEUSDT,RNDRUSDT,SANDUSDT,SKLUSDT,SNXUSDT,SUSHIUSDT,TRXUSDT,WAVESUSDT,XRPUSDT,XTZUSDT,ZILUSDT
2020-02-17,,,,,10030.69907508399,,,,,,,10948.533969960014,10621.923748090012,,,,,,,,,10386.701801964018,,,,,,,,,,10413.672497274005,,10254.533780352012,10509.647520440052,
2020-02-18,,,,,10043.519072889987,,,,,,,10959.824504800014,10625.445164378014,,,,,,,,,10400.34868716002,,,,,,,,,,10429.286508528005,,10258.608901196012,10572.16106326006,
2020-02-19,,,,,10046.677939449984,,,,,,,10980.45302924001,10631.941125038016,,,,,,,,,10423.170054892023,,,,,,,,,,10458.013119878005,,10275.912767352012,10630.338525620064,
2020-02-20,,,,,10046.666437049984,,,,,,,10982.723033240009,10640.777176636015,,,,,,,,,10424.752486866022,,,,,,,,,,10465.09739417001,,10281.17433852801,10673.13084648007,
2020-02-21,,,,,10052.211882949985,,,,,,,10996.657106760009,10695.634923412017,,,,,,,,,10434.125799036025,,,,,,,,,,10469.121248168014,,10283.207563318007,10687.184618040072,
2020-02-22,,,,,10054.12987900998,,,,,,,11001.727117160011,10702.709587124018,,,,,,,,,10447.415185678024,,,,,,,,,,10470.631445762014,,10283.186795384006,10744.119845140074,
2020-02-23,,,,,10058.006123369982,,,,,,,11039.86583798001,10708.403302570016,,,,,,,,,10456.890375674024,,,,,,,,,,10470.599763546013,,10283.176456328007,10761.058096700073,
2020-02-24,,,,,10059.73072082998,,,,,,,11043.76288212001,10712.857615308018,,,,,,,,,10466.471344460024,,,,,,,,,,10482.233057160018,,10286.593770102007,10774.633605200079,
2020-02-25,,,,,10059.73072082998,,,,,,,11071.070821500009,10721.19326349402,,,,,,,,,10476.943907498024,,,,,,,,,,10485.727206562018,,10288.614895672006,10790.289421460078,
2020-02-26,,,,,10059.73072082998,,,,,,,11073.348903320008,10724.747046570017,,,,,,,,,10477.354180438024,,,,,,,,,,10497.336307802021,,10298.94110630801,10874.010216660081,
2020-02-27,,,,,10063.859375149985,,,,,,,11078.388793180007,10730.45210315002,,,,,,,,,10490.51911891003,,,,,,,,,,10513.097577484024,,10314.321116128009,10918.148228640075,
2020-02-28,,,,,10066.884600489988,,,,,,,11083.501231780008,10737.553125084023,,,,,,,,,10500.747468564025,,,,,,,,,,10520.742354608026,,10316.779831090007,11029.608291480083,
2020-02-29,,,,,10085.747316493987,,,,,,,11093.738640600006,10741.114251758025,,,,,,,,,10509.665396730028,,,,,,,,,,10526.920876120023,,10319.68763828001,11049.85689432009,
2020-03-01,,,,,10089.135690773988,,,,,,,11103.895974000006,10753.443946764028,,,,,,,,,10521.615632542032,,,,,,,,,,10530.98962366602,,10321.728600322009,11062.059974300086,
2020-03-02,,,,,10090.06852443399,,,,,,,11103.830329960007,10808.05418206202,,,,,,,,,10522.714923362033,,,,,,,,,,10530.957791478022,,10321.707888010009,11098.930651900084,
2020-03-03,,,,,10098.417888195989,,,,,,,11123.802926420009,10815.619112522018,,,,,,,,,10535.910854790032,,,,,,,,,,10546.336656818019,,10326.10081604601,11106.725846080084,
2020-03-04,,,,,10102.085614695989,,,,,,,11127.23213322001,10819.201651170019,,,,,,,,,10541.859594810034,,,,,,,,,,10548.34918727002,,10327.308641564008,11157.230889240085,
2020-03-05,,,,,10125.27677117599,,,,,,,11127.16642424001,10830.334612792018,,,,,,,,,10551.175426148033,,,,,,,,,,10548.30642849002,,10327.287918772008,11231.281482680082,
2020-03-06,,,,,10127.964988867989,,,,,,,11167.069554100008,10833.915902300014,,,,,,,,,10554.540902098033,,,,,,,,,,10548.30642849002,,10327.245735486009,11239.103958120082,
2020-03-07,,,,,10129.19591510799,,,,,,,11171.022378500009,10836.593558298015,,,,,,,,,10559.47062867604,,,,,,,,,,10556.45545182002,,10331.603390998009,11249.712839060081,
2020-03-08,,,,,10129.19591510799,,,,,,,11171.022378500009,10836.593558298015,,,,,,,,,10560.302576878043,,,,,,,,,,10564.68940641802,,10338.55980404601,11262.720452580084,
2020-03-09,,,,,10129.19591510799,,,,,,,11172.172585740009,10855.956567798008,,,,,,,,,10560.289394290043,,,,,,,,,,10577.080830986017,,10344.286655586016,11272.113305980083,
2020-03-10,,,,,10135.545354227997,,,,,,,11175.01510044001,10859.548985296007,,,,,,,,,10570.69764792804,,,,,,,,,,10583.132632794013,,10347.924383706017,11313.463591860085,
2020-03-11,,,,,10136.189014227997,,,,,,,11178.45483828001,10864.049653958005,,,,,,,,,10574.33318380604,,,,,,,,,,10586.24585851401,,10349.969503082015,11326.427954640085,
2020-03-12,,,,,10136.520868227995,,,,,,,11181.32110742001,10868.558514618004,,,,,,,,,10575.881797488044,,,,,,,,,,10593.966410366009,,10361.505596224008,11338.522606320084,
2020-03-13,,,,,10384.613777708,,,,,,,11372.10438142001,11537.852606848006,,,,,,,,,10703.792099088043,,,,,,,,,,10717.917639764004,,10452.575319074014,11634.828195940083,
2020-03-14,,,,,10399.471984425989,,,,,,,11400.436067780009,11569.044449504006,,,,,,,,,10734.666719744037,,,,,,,,,,10730.637203908002,,10460.605227466014,11701.155110720074,
2020-03-15,,,,,10428.137062449998,,,,,,,11442.380710380014,11595.072533806006,,,,,,,,,10768.001406552032,,,,,,,,,,10766.897905640006,,10485.628233920017,11786.365907480063,
2020-03-16,,,,,10433.434850049996,,,,,,,11462.064286860015,11633.163614232011,,,,,,,,,10787.425511322024,,,,,,,,,,10798.232242910004,,10516.29637448602,11804.039871880066,
2020-03-17,,,,,10472.198597542003,,,,,,,11497.11317376002,11660.17687077001,,,,,,,,,10823.169551544011,,,,,,,,,,10815.842460930004,,10529.496611650022,11953.83325846007,
2020-03-18,,,,,10480.396969884001,,,,,,,11505.529424760025,11667.97141733001,,,,,,,,,10842.898497042006,,,,,,,,,,10826.58719764,,10533.81925230202,11990.731406200079,
2020-03-19,,,,,10630.065514954009,,,,,,,11650.302371040023,11703.116647602013,,,,,,,,,10882.074831177995,,,,,,,,,,10826.54346301,,10574.416463907251,12147.79017400008,
2020-03-20,,,,,10699.770457810018,,,,,,,11704.287290040033,11724.092842938015,,,,,,,,,10907.829543826008,,,,,,,,,,10824.422303888003,,10623.19129425602,12237.11673990008,
2020-03-21,,,,,10710.153239762018,,,,,,,11731.169565840035,11737.666317372015,,,,,,,,,10930.81635085601,,,,,,,,,,10725.577781184,,10627.692118704026,12283.124402480084,
2020-03-22,,,,,10714.807097902018,,,,,,,11758.503965900034,11743.931304200012,,,,,,,,,10936.90699394601,,,,,,,,,,10734.942618835998,,10633.311106682022,12301.904602020084,
2020-03-23,,,,,10743.916637548024,,,,,,,11809.423779440032,11777.175314046011,,,,,,,,,10961.465716342005,,,,,,,,,,10764.678915351997,,10643.67425821202,12376.999321640085,
2020-03-24,,,,,10753.019262876025,,,,,,,11826.62882550003,11785.457308984009,,,,,,,,,10984.493017506016,,,,,,,,,,10768.821269879994,,10646.32275578802,12411.88117556009,
2020-03-25,,,,,10759.078871558027,,,,,,,11838.97651970003,11792.703400482007,,,,,,,,,10997.75795277802,,,,,,,,,,10776.191953577996,,10648.881438196018,12432.263602620096,
2020-03-26,,,,,10761.133258778023,,,,,,,11844.492708300031,11795.670131922006,,,,,,,,,11008.292872436024,,,,,,,,,,10779.428785869995,,10648.849284906019,12435.013990620097,
2020-03-27,,,,,10788.494333478024,,,,,,,11855.64439664003,11802.997869358009,,,,,,,,,11016.501874984027,,,,,,,,,,10785.875536936004,,10697.32953274202,12440.623630280097,
2020-03-28,,,,,10789.487810018025,,,,,,,11855.61560214003,11804.946137958008,,,,,,,,,11025.593265978032,,,,,,,,,,10790.638359926004,,10702.353239432025,12446.9594952601,
2020-03-29,,,,,10790.496656238027,,,,,,,11861.220952500029,11812.72870051201,,,,,,,,,11031.148876054034,,,,,,,,,,10794.839810808004,,10706.206063494023,12453.913688200097,
2020-03-30,,,,,10796.586759538026,,,,,,,11861.192157000029,11817.110752048013,,,,,,,,,11039.569524456032,,,,,,,,,,10794.818058720002,,10706.184566488022,12480.231923647945,
2020-03-31,,,,,10801.492242798025,,,,,,,11880.59334518003,11822.00936800001,,,,,,,,,11042.602246624032,,,,,,,,,,10809.973578506,,10706.018181820022,12516.72551382009,
